Sample_Number	Sample_Type	Phase_Day_Time	Test	Sample_Number	Animal_Name_Tattoo	Tube_ID	Index_Plate	Plate_Position	RIN_1to9	QubitConcng_uL_1to9	Vol_for_400ng	NF_Water_Vol	Qubit_no_Dil	Vol_for_400ng	NF_Water_Vol	Plate_Location	Index__Lib	Quantit_ng_uL_Lib	Avg_bp_size_Bioanalyzer	Molarity_nM	Dilute_to_10nM_sample	Vol_to_dilute_to_10nM_RSB	Dil_to_2nM_samp	Dil_to_2nM_Vol__RSB	Tube_ID
F-50179143-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179143-003S	BORON-127AA	69			6.5	29	13.79	-3.79	261	1.53	8.47	E09	B	29.02	234	187.90	1.06	18.94	2.80	11.20	69
F-50179217-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179217-003S	SLIMJIM-3574556	70			6.4	19	21.05	-11.05	171	2.34	7.66	F09	B	27.01	230	177.93	1.12	18.88	2.80	11.20	70
F-50179269-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179269-003S	GOBLIN-120AB	71			5.8	197	2.03	7.97				G09	B	6.68	268	37.77	5.30	14.70	2.80	11.20	71
F-50179114-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179114-003S	HARD_ROCK-1971702	72			4.4	80	5.00	5.00				H09	B	12.33	271	68.94	2.90	17.10	2.80	11.20	72
F-50179186-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179186-003S	MAGNETO-1570987	73			6.5	364	1.10	8.90				A10	B	14.28	281	77.00	2.60	17.40	2.80	11.20	73
F-50179233-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179233-003S	NATIVITY-LCO-1	74			6.6	245	1.63	8.37				B10	B	9.32	282	50.08	3.99	16.01	2.80	11.20	74
F-50179089-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179089-003S	VIXEY-CJS-1	75			6.7	219	1.83	8.17				C10	B	9.76	296	49.96	4.00	16.00	2.80	11.20	75
F-50179153-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179153-003S	ARBY-3730264	76			6.5	359	1.11	8.89				D10	B	3.78	283	20.24	9.88	10.12	2.80	11.20	76
F-50179227-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179227-003S	FLAMINGO-1969634	77			6.7	124	3.23	6.77				E10	B	1.77	276	9.72	4.12	15.88	2.80	11.20	77
F-50179064-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179064-003S	MOXIE-1528760	78			5.9	185	2.16	7.84				F10	B	2.32	273	12.88	3.11	16.89	2.80	11.20	78
F-50179122-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179122-003S	AQUATA-FGS-1	79			9.2	178	2.25	7.75				G10	B	7.11	299	36.03	5.55	14.45	2.80	11.20	79
F-50179196-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179196-003S	MACARENA-147AF	80			6.9	112	3.57	6.43				H10	B	6.22	297	31.73	6.30	13.70	2.80	11.20	80
F-50179251-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179251-003S	ROGUE-1569474	81			6.5	328	1.22	8.78				A11	B	9	295	46.22	4.33	15.67	2.80	11.20	81
F-50179095-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179095-003S	TANDA-2329353	82			7.2	125	3.20	6.80				B11	B	2.33	298	11.85	3.38	16.62	2.80	11.20	82
F-50179155-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179155-003S	ARBY-3730264	83			9	135	2.96	7.04				C11	B	12.64	277	69.14	2.89	17.11	2.80	11.20	83
F-50179237-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179237-003S	PERDITA-BYS-1	84			5.7	408	0.98	9.02				D11	B	5.62	275	30.96	6.46	13.54	2.80	11.20	84
F-50179066-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179066-003S	PORT-088BC	85			8.2	119	3.36	6.64				E11	B	14.64	281	78.94	2.53	17.47	2.80	11.20	85
F-50179125-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179125-003S	MOXIE-1528760	86			8.4	349	1.15	8.85				F11	B	12.92	298	65.69	3.04	16.96	2.80	11.20	86
F-50179198-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179198-003S	MACARENA-147AF	87			6.7	133	3.01	6.99				G11	B	9.06	299	45.91	4.36	15.64	2.80	11.20	87
F-50179253-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179253-003S	PORRIDGE-3266789	88			6.8	131	3.05	6.95				H11	B	15.48	292	80.32	2.49	17.51	2.80	11.20	88
F-50179108-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179108-003S	FRANKENWEENIE-120AD	89			7.2	108	3.70	6.30				A12	B	37.84	301	190.48	1.05	18.95	2.80	11.20	89
F-50179165-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179165-003S	ZERO-1032003	90			7.2	81	4.94	5.06				B12	B	13	270	72.95	2.74	17.26	2.80	11.20	90
F-50179243-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179243-003S	FRANKENWEENIE-120AD	91			7	30	13.33	-3.33	270	1.48	8.52	C12	B	9.7	281	52.30	3.82	16.18	2.80	11.20	91
F-50179075-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179075-003S	PRETZEL-3554946	92			6.9	52	7.69	2.31				D12	B	10.01	284	53.40	3.75	16.25	2.80	11.20	92
F-50179137-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179137-003S	PORRIDGE-3266789	93			7.4	65	6.15	3.85				E12	B	20.25	312	98.34	2.03	17.97	2.80	11.20	93
F-50179207-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179207-003S	RC-1535511	94			7	331	1.21	8.79				F12	B	7.22	278	39.35	5.08	14.92	2.80	11.20	94
F-50179110-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179110-003S	BACON_BEAGLE-WIT-1	95			7.8	330	1.21	8.79				G12	B	24.89	295	127.84	1.56	18.44	2.80	11.20	95
F-50179167-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179167-003S	ZERO-1032003	96			6.5	125	3.20	6.80				H12	B	9.02	275	49.70	4.02	15.98	2.80	11.20	96
F-50179245-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179245-003S	BACON_BEAGLE-WIT-1	97			8.7	97	4.12	5.88				A07	C	9.5	298	48.30	4.14	15.86	2.80	11.20	97
F-50179083-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179083-003S	PUB-153AC	98			9.3	142	2.82	7.18				B07	C	22.32	315	107.36	1.86	18.14	2.80	11.20	98
F-50179141-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179141-003S	PUB-153AC	99			7	102	3.92	6.08				C07	C	20.46	297	104.38	1.92	18.08	2.80	11.20	99
F-50179209-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179209-003S	WOBBLE-147AE	100			8.9	126	3.17	6.83				D07	C	12.19	299	61.77	3.24	16.76	2.80	11.20	100
F-50179123-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179123-003S	FRONTIER-1971400	101			8.1	25	16.00	-6.00	225	1.78	8.22	E07	C	22.97	302	115.24	1.74	18.26	2.80	11.20	101
F-50179184-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179184-003S	SOONER-CFGCPT	102			7.5	140	2.86	7.14				F07	C	17.11	296	87.58	2.28	17.72	2.80	11.20	102
F-50179259-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179259-003S	SAUSAGE-3253997	103			7.4	95	4.21	5.79				G07	C	6.11	294	31.49	6.35	13.65	2.80	11.20	103
F-50179093-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179093-003S	WOBBLE-147AE	104			9.2	94	4.26	5.74				H07	C	17.67	300	89.24	2.24	17.76	2.80	11.20	104
F-50179161-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179161-003S	PUB-153AC	105			8.3	31	12.90	-2.90	279	1.43	8.57	A08	C	19.84	281	106.98	1.87	18.13	2.80	11.20	105
F-50179215-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179215-003S	MISTLETOE-UUS-1	106			8.3	45	8.89	1.11				B08	C	19.78	276	108.59	1.84	18.16	2.80	11.20	106
