##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	F-50179271-003S_S30_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
1105	150-151	-0.5805370993189243
1106	1	-0.1308365975344543
1106	2	-0.0652298785439811
1106	3	0.007511240536189234
1106	4	-0.17177228466876215
1106	5	-0.07782363497942413
1106	6	-0.19319534839912933
1106	7	0.03998126793617729
1106	8	-0.0021661113005819743
1106	9	-0.13180070795661436
1106	10-14	-0.08465073310168947
1106	15-19	-0.08125006702373838
1106	20-24	-0.06882427451753159
1106	25-29	-0.18950118570626273
1106	30-34	-0.11718237494729067
1106	35-39	-0.08846907612423394
1106	40-44	-0.11843457734140372
1106	45-49	-0.1339260422910158
1106	50-54	-0.09852289940443626
1106	55-59	-0.10991469960043077
1106	60-64	-0.12285227622651007
1106	65-69	-0.24098829324941562
1106	70-74	-0.31920441588231796
1106	75-79	-0.5119446992089962
1106	80-84	-0.2759537607661855
1106	85-89	-0.24468938424774933
1106	90-94	-0.3069574669686901
1106	95-99	-0.2550764034388706
1106	100-104	0.09248270905877831
1106	105-109	-0.2864519099802223
1106	110-114	-0.14436391025465412
1106	115-119	-0.33593140244772
1106	120-124	-0.28071567919433704
1106	125-129	-0.28943759095211874
1106	130-134	-0.11466012612528687
1106	135-139	-0.5826823812223267
1106	140-144	-0.6612540589426814
1106	145-149	-0.683870032499371
1106	150-151	-0.5127694614268492
1107	1	-0.0058267067068484835
1107	2	-0.10450780922028002
1107	3	-0.023467255282923816
1107	4	-0.2070484269447448
1107	5	-0.09267632578918494
1107	6	-0.2484379030810544
1107	7	-0.15802605100659406
1107	8	0.01962845734646379
1107	9	-0.17869914088740302
1107	10-14	-0.11294653599303928
1107	15-19	-0.13164671328775057
1107	20-24	-0.07820648822458764
1107	25-29	-0.08796035848867234
1107	30-34	-0.13518931328099626
1107	35-39	-0.09157838271337937
1107	40-44	-0.1419999180193514
1107	45-49	-0.1577056197606339
1107	50-54	-0.1519000457092332
1107	55-59	-0.09190718716818225
1107	60-64	-0.19994507696134178
1107	65-69	-0.2546772547355616
1107	70-74	-0.14529158059823288
1107	75-79	-0.27937238079043425
1107	80-84	-0.19267561300154057
1107	85-89	-0.12935184690677204
1107	90-94	-0.230630193726455
1107	95-99	-0.32636178571759444
1107	100-104	-0.030932576407053602
1107	105-109	-0.37457523157029016
1107	110-114	-0.3524325825376522
1107	115-119	-0.4251307504925421
1107	120-124	-0.3734489758787447
1107	125-129	-0.315949459199814
1107	130-134	-0.2264950255867504
1107	135-139	-0.44144455116585846
1107	140-144	-0.39199836458587356
1107	145-149	-0.5087258147502425
1107	150-151	-0.5805339692102649
1108	1	0.006488270147137598
1108	2	0.03982917766990113
1108	3	0.046379472719827675
1108	4	0.044822528472309386
1108	5	0.13790779983040125
1108	6	0.01536459334555218
1108	7	0.16110309932822986
1108	8	0.060740694203381906
1108	9	-0.07591513739418332
1108	10-14	0.04921462304756119
1108	15-19	-0.00838860024241228
1108	20-24	-0.004019430207748087
1108	25-29	-0.027778942846261145
1108	30-34	-0.06963979581658464
1108	35-39	0.03559874400919938
1108	40-44	-0.045661164316548764
1108	45-49	0.060236110202211535
1108	50-54	-0.007431632220232132
1108	55-59	-0.08486705997560051
1108	60-64	-0.10062372881336756
1108	65-69	-0.08368494708337693
1108	70-74	-0.1896771808782063
1108	75-79	-0.21958548655608467
1108	80-84	-0.08052242475767457
1108	85-89	-0.10928609941669976
1108	90-94	-0.2719258567909364
1108	95-99	-0.2146476159156876
1108	100-104	-0.07239240717289874
1108	105-109	-0.2500201424380606
1108	110-114	-0.2013205984317068
