mrna_F.50179058.003S mrna_F.50179060.003S mrna_F.50179062.003S mrna_F.50179066.003S mrna_F.50179064.003S mrna_F.50179068.003S mrna_F.50179071.003S mrna_F.50179073.003S mrna_F.50179075.003S mrna_F.50179077.003S mrna_F.50179079.003S mrna_F.50179081.003S mrna_F.50179083.003S mrna_F.50179085.003S mrna_F.50179087.003S mrna_F.50179089.003S mrna_F.50179091.003S mrna_F.50179093.003S mrna_F.50179095.003S mrna_F.50179097.003S mrna_F.50179099.003S mrna_F.50179101.003S mrna_F.50179105.003S mrna_F.50179106.003S mrna_F.50179108.003S mrna_F.50179110.003S mrna_F.50179112.003S mrna_F.50179114.003S mrna_F.50179116.003S mrna_F.50179118.003S mrna_F.50179120.003S mrna_F.50179122.003S mrna_F.50179123.003S mrna_F.50179125.003S mrna_F.50179127.003S mrna_F.50179129.003S mrna_F.50179131.003S mrna_F.50179133.003S mrna_F.50179135.003S mrna_F.50179137.003S mrna_F.50179139.003S mrna_F.50179141.003S mrna_F.50179143.003S mrna_F.50179145.003S mrna_F.50179147.003S mrna_F.50179149.003S mrna_F.50179151.003S mrna_F.50179153.003S mrna_F.50179155.003S mrna_F.50179157.003S mrna_F.50179159.003S mrna_F.50179161.003S mrna_F.50179163.003S mrna_F.50179165.003S mrna_F.50179167.003S mrna_F.50179169.003S mrna_F.50179171.003S mrna_F.50179173.003S mrna_F.50179176.003S mrna_F.50179182.003S mrna_F.50179184.003S mrna_F.50179186.003S mrna_F.50179188.003S mrna_F.50179190.003S mrna_F.50179192.003S mrna_F.50179194.003S mrna_F.50179196.003S mrna_F.50179198.003S mrna_F.50179200.003S mrna_F.50179201.003S mrna_F.50179203.003S mrna_F.50179205.003S mrna_F.50179207.003S mrna_F.50179209.003S mrna_F.50179211.003S mrna_F.50179213.003S mrna_F.50179215.003S mrna_F.50179217.003S mrna_F.50179219.003S mrna_F.50179221.003S mrna_F.50179223.003S mrna_F.50179225.003S mrna_F.50179227.003S mrna_F.50179229.003S mrna_F.50179231.003S mrna_F.50179233.003S mrna_F.50179235.003S mrna_F.50179237.003S mrna_F.50179239.003S mrna_F.50179241.003S mrna_F.50179243.003S mrna_F.50179245.003S mrna_F.50179247.003S mrna_F.50179249.003S mrna_F.50179251.003S mrna_F.50179253.003S mrna_F.50179255.003S mrna_F.50179257.003S mrna_F.50179259.003S mrna_F.50179261.003S mrna_F.50179263.003S mrna_F.50179265.003S mrna_F.50179267.003S mrna_F.50179269.003S mrna_F.50179271.003S
K07683 2 8.96 0 78.93 9 8 4.62 2 31 0 3 9 30.04 1 6 2.44 1 16.17 23.57 21 0 17.47 1 1 0 0 2.25 1.46 45 2 21.07 4 90.95 5.93 5.96 3.31 14 2.85 10.45 2 17 161.28 15.67 34.94 27.89 1 271.38 2 16.47 0 70 24.59 16 27 10 18.85 18 5.42 34.8 27.54 311 21.64 66.76 7.68 53.87 3.8 17.91 0 35.6 35.44 22.91 24.01 12.82 78.51 68.08 6 30 16 31.12 18 10.57 17 4.59 51.97 6 28.14 51.24 4 36.88 29.48 30.37 2.62 27.02 47.25 5 25.98 111.59 21.34 71.12 21.26 33.67 116.26 90.48 9 77.28
K07684 9.57 49.13 15.24 73.09 8.45 10.39 33.23 5 21.46 4 4 22.56 35.01 0.44 16.68 15.4 9 24.23 44.01 19.51 13.16 37.02 8 11.32 11 6.4 18 8 29.39 8.06 23 11.1 96.42 14 8.04 130.65 24.74 11.28 18.71 13.42 12.39 182.47 13.49 58.85 47.22 2 133.19 9.1 14.09 5.75 64.34 39.2 28.07 10.73 30.72 40.33 27.63 5.15 49.76 20.06 337.9 22.4 52.19 16.05 62.64 3.08 12.91 23 25.74 82.05 10.14 36.06 7.51 24.2 64.67 8.2 12.6 18.25 37.37 32.06 18.49 21.39 19.36 41.08 2 18.68 29.75 12 44.44 28.36 60.9 25.85 28.01 53.18 24.81 81.79 96.31 22.04 48.55 23.94 45.6 106.48 86.39 10.39 71.16
K07685 0 1.5 8.14 4 1 5 3 0 2 0 0 4 2.5 0 1 4 2 4 5 1 6 0 0 0 1 1 5 5 1.65 3 3 1 0 1 0.61 3 4 1 2 1 0 3 0 3 1 1 6 6 0 3 3 0 12 1 1 1 0 0 4 2 1 2.99 4 1 0 1 1 3 2 8 4 2 1 2 1 3 2 1 1 0 3 1.5 3 1.58 0 0 0 2 0 3 3 5 8 3 19 0.69 8 2 1.5 0 0 1 5 0 0
K07686 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
K07687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K07688 0 3 0 13 0 1 7 1 0 0 0 1 3 1 0 1 1.08 4 5 6 1 7 6 2 0 1 0 4 0 1 2 0 31.24 2 0 0 0.24 3 2 1 4 6 2 20.17 11 0 26.86 0 1 2 11 10 7.4 2 21 9 2 2 6 17 82 5 7 2 8.38 3 2 3 3 17 4 2 0 11 12 2 5 0 10 3 8 1 6 5 3 6 17 0 11 5 15 0 15 16 0 14.57 15 3 5 4 8 2 11 7 11
K07689 0 1 0 5 0 0 1 1 0 0 2 0 1 0 0 0 0 1 0 0 2 2 1 2 0 0 0 4 0 1 3 1 0 1 2 4 0 2 1 0 0 5.98 5.02 1 5.04 0 16 0 2 0 3 1 0 1 0 2 2 0 8 2 3 7 1 1 4 0 0 2 1 5.96 4 2 0 4.78 1.62 0 1 0 1 3 2 0 0 2 0 0 0 0 1 0 0 0 14 4 0 2 3 0 3 1 1 2.34 0 0 3
K07690 0 0 0 0 0 20 14 2 2 2 2 0 0 12 2 4 0 0 0 0 2 0 2 2 0 2 6 10 10 2 2 2 0 6 2 0 6 0 2 2 0 0 0 2 0 0 2 8 2 4 2 0 0 0 18 0 0 0 24 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0
K07692 1 1 0 8.27 1 3.56 0 0 0 1 0 0 10 0 1 0.07 0 3 1 1 3 0 0 1 0 0 4.54 1 4.54 0 1 0 4.9 1 0 20.14 0 8.55 1 0 1 8.15 0 33.33 8.65 1 19.9 0 7.79 0 2 4.59 1.56 0.53 28.7 4.34 1 0 2 1 11.78 1 2.57 9.29 14.61 2.2 1 1.32 0 2 4 6.64 2.17 2 1 0 1 2 6.92 11.63 5.5 0 4.57 1 3 1.68 3 1 7.19 1 8.36 2 5.66 12.43 0 3 11.66 5.56 1 0 0 5.69 2.32 1 1
K07693 14.02 2 2 3 0 17 3 2 7.99 3 0 5 11.15 2 7 16 5 8 9 5 14 2 4.5 2.49 13 1 14 0 2 8 10.53 1 0 8.83 4.67 3 11 1 7.95 3.97 6 2 0 0 0 0 7 18 2 6 2 2 20.46 0 2 0 1 0 1 0 0 0 9 5.99 3 0 3 4 1 5 3 11 0 1 0 7 6 2.51 0 1 2 0 2 2.31 1 0 0 1 6 3 0 6 14 16 19 0 1 0 0 2 0 0 5 3 0
K07694 338.08 238.34 64.79 228.27 177.82 187.67 288.14 237.02 248.43 96.74 84.01 427.37 1138 331.41 209.42 385.8 302.53 189.85 245.66 224.61 354.69 353.04 326.08 236.43 200.21 206.6 470.28 219.83 280.95 348.02 278.05 165.3 899.09 458.14 282.15 0 461.27 640.78 328.21 379.86 258.63 299.43 397.66 558.66 203.48 244.97 301.76 310.19 501.96 99.88 194.38 246.77 308.99 145.86 432.9 0 649.94 214.99 441.36 263 323.57 90.49 471.39 434.38 205.78 174.7 259.08 208.84 159.45 180.31 104.86 418.79 518.13 171.56 193.37 168.28 273.18 198.12 368.78 290.4 296.76 302.63 427.28 214.75 135.45 300.04 159.6 51 313.07 186.45 359.68 145 230.36 402.73 314.76 120.31 146.3 326.43 150 89.18 1 2 167.62 657.35 281.64
K07695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
K07696 9 15 60 74 5 23 18.54 7 30.79 8 8 5 35 3 27.44 5 8 23 12 42 7 12 1 20.56 3 11.66 5 23 20.93 5 55 13.37 39.94 7 18 27 9 14 12 22 11 69.67 9.68 78 39 22 131 21 21.67 3 34.66 53 30.01 37 179 40 15 5 25.7 32 320.45 28 16 27 70.01 31 6 18 12 29 31.84 28 34 38.91 23 2 17 11 60 13 19.78 35 46 42 22 3.96 17 7 50 15.01 161.6 5 65.17 34.05 7 20.93 39.38 31 37.38 12 19 27.01 31.81 7 57
K07697 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 2 0 0 4 0 0 0 0 0 3 0 0 0 0 2 0 0 0 1 2.61 0 0 5 23 3 1 1 0 3 0 0 1 0 0 2 0 0 4 2 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 1 1 3 0 1 0 0 0 0 1 1 0 0 0 2 1 0 0 0
K07698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 4 0 1 1 0 1 0 0 0 1 1.39 1 0 1 0 1 1 0 2 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 4
K07699 43.28 67.8 193.97 96.89 92.17 80.84 71.29 16.3 59.21 13 38.56 25.9 97.6 18.14 70.25 87.28 26.75 65.97 42.05 85.75 41.05 39.47 32.56 40.79 7.31 31.01 39.28 29.61 83.55 18 53.75 46.31 28.15 30.7 40.38 86.65 42.61 34.4 27.47 33.71 22.87 84.79 59.11 97.15 88.86 16.26 79.36 27.85 142.89 37.03 71.26 79.82 51.42 44.09 112.21 143.46 169.76 33.22 150.77 136.97 66.7 54.97 47.65 75.31 112.08 159.84 62.43 50.66 13 103.92 71.2 88.31 63.19 52.29 137.52 30.41 62.49 57.79 146.35 51.48 119.28 51.93 85.68 67.12 64.46 96.48 147.88 78.83 62.81 96.98 82.44 52.76 88.25 70.33 62.09 111.16 155.54 81.4 35.09 144.59 14.78 124.33 90.4 90.28 139.45
K07700 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 2 0 2 0 0 0 0 0 0 0 2 0 0 0 2 4 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
K07701 4 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 2 0 6 0 2 0 0 0 2 2 2 12 0 6 0 0 0 4 4 0 0 2 0 4 4 0 0 0 2 0 24 14 1 0 0 0 0 0 8 0 6 0 0 4 2 2 7 0 0 0 2 0 2 0 0 16 0 0 0 0 2 0 0 0 0 0 18 0 0 2 0 0
K07702 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4 2 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
K07703 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0
K07704 243.58 423.41 654.95 108.43 655.12 270.4 119.01 27 143.52 26 45.91 104.28 126.24 141.65 68.74 130.07 76.82 68.49 103 129.07 151.12 70.11 267.79 29.99 79 38.45 105.29 129.79 71.4 72.81 67.96 64.88 268.3 78 55.02 468.68 98.01 184.19 80.05 65 122.69 707.48 107.79 322.13 162.42 87.56 327.05 166.69 76.72 107.06 362.06 200.6 364.78 35.81 413.96 583.64 306.05 65.75 275.63 675.91 307.39 80.65 201.68 400 262.01 503.89 121.09 177.26 72.36 780.6 173.84 413.87 223.66 137.3 630.18 56.6 153.07 70.39 199.44 212.26 934.51 104.15 331.05 241.26 45.53 75.56 512.83 652.44 233.64 1047.83 428.87 82.4 145.82 373.23 122.36 392.01 707.79 504.27 289.41 682.22 272.38 432.11 104.98 436.9 350.13
K07705 137.3 312.81 228.17 150.23 166.11 72.29 232.54 47.07 143.97 48.73 50.75 130.31 239.45 124.71 93.86 110.37 70.98 96.82 119.79 105.79 146.08 119.58 68.95 73.03 59.99 92.22 65.64 90.78 131.19 205.59 130.34 87.67 95.99 74.76 63.85 110 104.22 72.81 150.58 154.25 120.73 182.39 50.8 121.19 126.08 41.69 138.27 79.61 123.65 40 128.98 362 144.45 49.24 116.17 194.37 150.97 45.77 246.01 156.48 341.88 123.04 44 82.14 162.07 278.45 166.3 190.56 59 351.26 94.51 281.54 169.32 175.86 178.32 212.06 145.75 59.13 240.27 87.94 184.71 52.4 75.54 114.79 85.84 153.45 152.07 1161.78 179.65 134.06 111.8 206.75 288.52 154.12 108.73 257.86 364.86 112.68 115.07 145.34 46.06 156.93 158.27 88.26 118.95
K07707 140 34.68 17.03 20 148.1 12 23.19 87 32 7 12 52 31.12 15 84 42 111 51 26.76 143 149 70.06 10 55.02 23 47.03 42 67 43 84 45.13 69 1 27 50.02 39 64.02 5 25 43.9 30 18 43.2 9.09 17 13 12.08 8.03 13.06 38 29.22 16.06 44 12.21 5 23 65.1 6 21.05 81.51 14.27 12.95 29 12 24.86 62.01 30 108.11 10.03 17 7.04 28.02 12.1 29.11 235.84 28 11 20 32.17 22 31.12 7 11 13.05 6 19.95 131.11 38 25 109.99 14.02 22 23.06 14 28.9 14 30.15 191.94 7 141.96 5 147.9 19.62 237 19.57
K07708 36.3 48.54 53.44 76.64 57.28 53.16 31 11 17.14 0 9.18 19 37.22 2 28.58 42.86 14 13.52 33.98 43.09 35 32.46 14 18 0 13 20 8.64 7.78 26 29 20 16 10 14.74 19 16 29.8 12.28 8.1 15.38 47.3 39.18 72.14 33 4 26 28 52 22.12 52.2 40.22 31 36 54 108.04 104.36 18.02 109.38 95.28 17.32 24.98 18 35 107.52 94.46 35.56 33.34 5 69.96 53 64 34.72 36 76.02 6.74 16.06 4.72 101.22 22.82 74.72 20.22 59.48 47.76 24.16 100.8 102.7 63.64 43 18.1 40.06 21 53.32 45.48 20.38 57.3 153.74 57.98 32.6 110.8 21.18 67.28 61.22 49.56 59.28
K07709 24.18 138.74 4 82.88 74.02 59 27.48 3 25.52 15.5 24.34 20 126.3 18.86 60.72 18.34 8 57.22 109.7 103.56 45 92.28 140 18 8 28.12 16.6 38.8 65.12 6 39.1 22.5 111.48 26 54.44 15 33.08 73.08 57.08 14.3 37.38 188.94 72.2 81 70.74 37.88 63.22 15 78.78 15.56 64.64 61.38 55 83.52 138.32 193.2 149.41 60.22 144.8 153.14 134.32 64 48.66 66.38 88.58 67.84 156.3 30 40.76 486 35.88 41 88.2 68.26 330.68 18.52 47.2 28.48 80.16 46.78 163.8 74.14 60.6 83.04 23 142.94 212.4 47 59.94 112.02 179.32 54.2 120 98.8 30 361.38 1198.98 81.76 45.36 90 20 400 204.82 78 227
K07710 42 126 533.24 122.68 144 28 96.98 38 14.62 34 8 46 116.04 52.34 80 45.04 26 122 78 70 68 46 118 62 22 36.42 46 56 48.46 47.7 164 42 32.44 38 48 67.82 29.78 88 68 42 48.38 245.08 101.5 163.48 79.18 12 158.44 26 68 20 176 167.36 47.2 135.88 69.98 184 245.98 58 123.42 242 806.16 114.94 30 48.34 100.76 131.54 202 50 42 161.24 78.88 75.6 70.48 119.76 160 43.84 102 32 163.26 51.96 176.42 74.24 54.84 113.64 14 210 190.28 92 85.42 172 134 77.72 89.24 109.66 22.16 126.66 208.62 132 78.24 182.04 71.42 159.24 161.86 56.64 232.44
K07711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
K07712 7 107.67 591 82 20.46 18.76 177 13 32 5.15 16.67 25.66 127 14.55 18 5.75 40.93 44 44 37.52 20 58 87 27.86 2 19 21 17 58.65 111.29 49 46 161.72 14 18 69.65 24.62 23.58 39 17 42.93 270.68 26.76 56.6 164.23 3 99.25 7 40 7 53.7 156.61 409 8 25.55 110.79 65.02 4 110.08 52.61 486.14 89.37 30.65 24 200.88 20 32.76 60.17 64.87 460.94 71 48.78 35.9 326.01 97.04 283.84 59 24.01 69 95 43.34 14.54 21 36 21 49.01 83.17 32 181.64 31.29 46.8 223.28 296.39 77.54 44 295.72 494.33 26 91.34 48 48.48 206.47 171.29 15.82 77.62
K07713 1539.79 144.46 787.53 3950.62 1250.67 1945.22 3596.82 2007.91 1777.82 1361.71 1097.33 2763.92 11204.5 2665.56 2887.53 1544.46 2383.15 1445.42 1080.36 2994.81 2416.97 2135.03 2321.67 2209.46 2492.04 1965.84 3218.65 2783.49 1626.25 115.17 2487.99 1753.07 12613.35 3794.8 2359.11 868.4 2124.37 7334.63 1937.12 267.21 2381.95 4837.79 4467.12 6253.1 3555.73 2743.98 4332.9 3154.58 4829.34 695.48 2642.95 1244.16 2023.82 1225.93 6186.46 422.44 4911.79 1909.2 3078.56 2320.4 4173.99 1113.65 5048.85 6009.32 2974.45 1811.25 307.11 851.74 793.52 1224.53 1825.85 5381.63 4779.3 891.56 1300.27 496.12 2122.99 2499.32 3430.17 2535.19 2205.64 2257.18 4287.35 3674.1 1494.04 923.74 1561.64 162.04 5371.92 1840.53 4149.81 975.52 2799.99 4271.13 2354.48 544.61 1291.84 2378.32 2467.88 1809.15 291.4 157.64 2100.8 6175.72 3332.65
K07714 444.96 1056.62 930 5973.34 662.8 207.84 692.58 357.52 684.54 627.8 312.52 546.62 1507.7 446.34 955.94 582.62 409.22 480.18 612.08 1482.52 409.02 1073.84 10 431.52 608.12 332.24 736.76 541.1 716.96 163.52 1025.32 420 423.92 1058.68 1230.48 102 514.32 907.78 372.04 257.98 205.42 2132.84 1036.7 5337.92 3061.8 588.7 4325.22 388.18 4094.86 176.4 2802.86 2079.42 780.46 876.74 4237.56 2954.34 1816.88 311.32 1582.3 1008.6 10358.04 3853.06 1108.78 1199.04 5122.6 852.22 2261.78 555.52 261 3355.3 3701.78 4556.78 1193.94 1932.06 893.04 233.88 673.48 321.36 3672.38 808.04 2404.48 942.84 1759.1 3156 216.08 3553.86 719.26 1688.46 3088.76 4821.44 6167.24 971.54 2497.2 4380.66 250.88 1294.02 3031 969.08 2188.76 1913.88 2973.82 1754.12 4410.96 326.48 7131.82
K07715 28.86 293.32 184.82 582.64 74 32.22 281.14 28.82 179.94 25.16 28.66 212.42 227.84 24.86 122.76 39.02 13.02 278.34 322.02 142.94 327.76 412.64 217.18 157.28 30.92 52 81.32 59.06 295.26 118.92 223.9 230.06 762.84 70.76 46.5 892.7 150.94 76.9 164.74 115.58 275.82 2536.56 106.3 489.14 385.88 14.3 1797.38 50.84 157 22 556.34 752.46 242.22 143.98 112.02 762.3 266.42 34.86 328.42 234.04 13076.38 327.88 211.96 188.28 654.12 68.38 124.7 173.48 211.2 899.9 216.3 237.12 91.74 595.48 553.06 282.92 506 108.1 342.34 250.38 144 102.36 113.72 295.22 16.8 235.76 730.72 44 549.32 218.84 203.24 797.12 873.9 462.22 41.66 769.72 1059.98 136.12 1023.06 210.38 762.4 1413.64 942.14 87.06 476.5
K07716 0 1 6 10 1 4 4 3 0 0 1 0 3 2 1 0 1 6 1 1 1.64 0 0 2 0 0 2 2 3 1 2.99 0 1 0 1 7 1 0 0 0 2 1 0 2 11 0 4 0 7 0 1 1 1 0 15 2 1 1 0 6 34 7 0 16 10 4 2 1 2 2 2 13 3 3 2 0 1 1 18 0 1 0 10 2 0 0 0 1 9 0 6 1 1 7 0 5 2 1 1 2 0 0 2 0 2
K07717 0 39.16 12 18 7 6.21 19 4 5 5 4 2 10 11 7 3 4 7 6 14 9.07 5 0 2 5 0 4 10 8 6 6 4 4 5 4 9 0 14 0 2 3 18.63 16 38.01 8 1 44.5 0 28 5 22.77 12.06 5 6 23.22 58.03 12 1 21.29 15.64 6 17.21 5 17.73 21 42.66 4 4 8 63.61 12 41.82 10 16.37 21.59 8 4 4 25.72 3 10.62 7 27 18 6 11 19 4 15 4 21 21.37 14.11 38.67 3 25.45 12.3 7 9 11 28.85 17 22.42 15 37.49
K07718 181.08 524.01 450.17 546.31 284.41 118.79 577.22 60.48 102.46 53 99.22 103.1 280.71 102.95 138.06 100 59.5 174.82 265.74 218.78 185.97 223.49 173 131.63 38.15 63.29 90.02 124.2 195 217.18 197.49 172.07 243.09 57 104.13 192.9 85.99 144.01 210.4 128.72 306.53 622.42 197.07 390.61 316.32 45 440.3 108.01 281.26 116.02 310.61 744.32 612.35 204.44 277.69 476.35 524.66 78.31 602.43 478.51 823.72 470.27 136.94 188.31 803.93 447.08 367.94 297.77 122.48 667.57 194.51 510.25 208.71 422.37 553.85 203.74 940.33 159.61 493.49 257.55 386.12 113.32 220.28 317.41 94.35 440.27 1103.27 307.68 760.46 289.55 272.26 281.02 500.04 441.65 370.86 487.32 1009.3 304.21 341.9 777.79 159.13 743.69 601.86 280.72 329.12
K07719 30.81 161.71 40.71 51 29.3 3.8 49 6.94 2 8.97 5.95 8.97 30.73 5 10 7 5 30 19 13.97 21.9 19 25 20 7 6 5 19 7 18.89 32.73 14 12.01 13.85 12.93 8 2 11 19.79 7 23.51 43.37 30 103.99 57 2.93 54.5 6 39 9 59.23 72.94 82.74 42 35.6 125.58 76 12.95 62.97 82.59 54 82.24 10.87 19.27 69 87.34 37 64.73 18.99 167.78 28 99.18 25 144.87 63.41 75.23 66.15 16 78.28 25.96 40.38 10 21 56 5 34 62.49 15 57 62.51 40 32.74 62.9 77.33 27.5 76.55 95.7 9.79 47.23 48 29.15 81.76 49.58 31.95 62.51
K07720 35.09 147.63 132.66 137.02 54.52 20 75 21 29.25 9 24.94 12.9 91.31 24.68 35.07 30 12 108.36 89.46 35.08 45.47 55.91 36.63 40.84 8.5 36.98 39.71 25.01 31.45 29.72 61.64 45.96 44.36 11.4 28.59 93.01 11.35 18 48.88 36.92 20.18 156.73 40 212.2 115.28 11.87 123.76 9 253.62 20.67 137.41 150.3 117 47.96 123.53 149.36 141.16 28.5 158.73 123.78 293.55 88.92 45.62 47.41 270.82 155.46 81.28 58.7 73.27 251.26 40.93 147.16 92.73 265.38 101.5 59.43 119.49 50.98 156.99 85.36 101.36 37.42 78.65 75.93 42.97 140.94 206.76 71.55 128.09 50.93 95.53 82.76 89.47 95 47 170.24 174.36 51.58 60.99 270.96 66.12 196.57 171.2 41.12 151.87
K07722 4.14 5 0 2 9 8.12 0 1 0 2 0 2 6 5 4 3 1 4 0 4 1 0 23 4 1 1 3 3 1 3 1 1 3 0 3 0 1 4 2 0 1 8 1 7 8 1 12.98 3 1 2 7.49 10.12 4.39 0 15.62 25.03 13.61 3 9 22 43.25 8 6 15.1 8 5 2 4 2 20.31 5 8 0 8 36.27 2 3.38 1 7 5.87 15.03 6 5 8 4 2 7 20.5 13.55 4 35.84 1 14 15.98 2 5 10 7.22 6 5 5.19 10.3 5 15.33 13
K07726 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
K07727 68.75 171.95 262.02 203.94 183.76 91.4 118.83 18 70 20.35 32 106.57 137.5 32.92 84.79 110 31.93 120.29 167.88 158.23 92.11 71 111.13 30.52 34 19.22 75.31 48.94 108.72 88.46 102.17 52.97 127.56 40.52 53.33 81 85.86 68.36 69.41 58.23 122.82 225.32 57.15 195.17 126.06 28 247.99 112 70.99 78 175.55 113.15 319.54 28.6 91.52 316.66 175.12 16 171.8 175.36 457.58 91.97 147.06 105.99 201.41 281.79 52.68 104.22 36.93 330.76 48.4 190.1 76.98 107.77 326.63 43.59 64.26 86.07 122.98 140.83 81.5 63.44 74.78 151.49 25.75 84 216.78 58.39 167.48 205.69 159.78 100.88 148.54 244.36 225.39 210.43 692.05 172.07 129.57 255.13 137.89 344.72 285.36 249.37 171.81
K07728 0 0 0 0 0 0 1 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.5 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 13 1 0 1 0 0 0 0 16 0 0 0 3 0 4 0
K07729 87.89 54.3 36.77 97.48 81.87 54.5 67.79 27.32 69.58 33 33.45 28.18 113.98 41.59 59.37 41.33 34.77 44.35 34.51 74.86 21.36 32.9 1.76 24.01 42.35 27.2 41.01 86.43 88.93 37.57 65.83 16.6 115 42.37 50.55 16.08 65.03 90.7 55.83 23.15 25 102.09 81.26 133.53 60.45 53.57 87.52 76.27 144.29 29.28 79.89 67.9 130.8 44.74 79.87 90.87 141.74 26 85.48 214.02 323.98 41.51 132.96 87.75 92.43 187.6 109.32 47.38 18.64 49.2 42.99 95.11 74.86 48.5 513.7 21.68 42.15 76.49 87.4 46.98 188.17 60.47 66.59 80.67 36.36 118.71 156.99 44.98 100.84 132.52 117.38 51 75.43 78.74 141.05 117.91 104.51 182.09 79.91 101.36 51.07 91.96 88.68 212.15 91.73
K07733 0 0 3 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 2 1 1 1 0 4 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0
