	Prefeed_HiCHO_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
Q31K59	1.21320957000732	10.3763156632247	-1.66605426732377	0.990215668607114	-3.09639358587546
A0A0H2XK79	7.43286950521927	22.2743839415387	-1.66516471840696	0.99021476723325	-1.58339434590526
P0DA74	0.830367489912602	5.92016431208824	-1.66502743193114	0.990214456972448	-2.83381535158771
O67422	70.2202445737528	124.631243090567	-1.66452052268242	0.990213311795838	-0.827706848457306
A9KLU2	23.0409148719823	45.849770472534	-1.664503836295	0.990213274110097	-0.992716509440002
Q2RJP1	5.75563549706544	17.6575094779563	-1.66701848003857	0.990206989343099	-1.61723473631899
Q6A6Q7	0.585753984874448	3.05507622577996	-1.66708240443634	0.990206413640244	-2.38284160763881
Q06198	16.2340447034008	34.7552083941357	-1.66720546484824	0.990205305255775	-1.09820670407302
Q182S2	9.26813113459882	26.6077372204892	-1.68854957910633	0.990204091207359	-1.52149546354817
A6TN94	41.3157409644073	79.3345085181376	-1.66746168466283	0.990202997092159	-0.941256996984451
P0A442	3.288215567842	13.2889419027639	-1.66308692393405	0.990201245463148	-2.01484945137047
O32068	17.5190760038136	50.9987626459409	-1.66779667077813	0.990199978473703	-1.54153555831161
A8YUE3	144.507404434996	636.865670717201	-1.66792413015253	0.990198113507849	-2.13984569068975
C4Z2T2	8.38215827749592	25.6407512345269	-1.66279349379488	0.990197914579803	-1.61304486255185
P20845	4.08303459384031	26.8989477980706	-1.66259379571478	0.990195648389602	-2.71983604413188
Q04J33	0.880168691927017	9.74698111105318	-1.66215750879548	0.990190693295513	-3.46910348823176
A9KMT3	22.8664086081476	45.2707727133124	-1.66841708550262	0.990188604238791	-0.985350137472048
O32255	15.647557426432	57.7196520093357	-1.66878390694633	0.990181525564509	-1.88312513090213
A6TWH0	4.19980354324706	14.851491944399	-1.66943837690281	0.990168890593387	-1.82221411914303
Q8R7N1	8.74622862126269	24.093889108899	-1.66948102297544	0.99016806704057	-1.46193431939806
Q0SPR6	18.2649974048354	45.5198435796254	-1.66962561808437	0.990165274494349	-1.31741405138704
A3DGS4	25.1997395666379	49.3132558911619	-1.66073042787442	0.990161667640961	-0.968566685549939
Q3K3T4	15.8940103897891	102.208840251748	-1.67014885971263	0.990151195210322	-2.68496488558587
A6M3M8	2.87783669158135	12.9666172191921	-1.66017396469839	0.990149600698945	-2.17174552187495
P72302	55.2918682595878	97.7330857054859	-1.67041817378161	0.990143287652401	-0.821779722458304
P63688	13.4770004215524	60.2618519801311	-1.68785642676296	0.990132329084756	-2.1607455794772
O54537	2.25578924947542	22.6268460454972	-1.67096773410616	0.990127146968951	-3.32633130827951
P94890	9.3891298320668	23.2431994178823	-1.67111343278838	0.990122866742075	-1.30774530609061
A8MLH5	5.59387632111167	17.4056906664603	-1.65881766051296	0.990109975205178	-1.63763880031913
A4VUL1	0.780185572309233	9.98898458744991	-1.68755332680541	0.990100925287899	-3.67844880637794
P13607	16.2076498705541	76.8987224304866	-1.67213088202226	0.990089003292553	-2.2462847164957
O07006	0.525592052725087	3.34937622089256	-1.65804169961376	0.990084764418678	-2.67187707031638
P25953	96.5260296183452	245.991699311585	-1.67234689645923	0.990080865614089	-1.34961969119082
Q0SW37	9.61316240036325	25.6724486286843	-1.6727516088732	0.99006561696988	-1.41713789487149
P07373	17.3511513517476	36.2510149826645	-1.65681588568169	0.990039176551393	-1.06298999198536
P49022	47.5216898366231	97.0643901856141	-1.67364435691616	0.990031633716506	-1.03035597589423
Q46266	159.242167521611	237.326098162315	-1.67415630456091	0.990010498715592	-0.575648344960083
A8GAQ8	1.00928002133065	5.74083147861249	-1.65586193820344	0.989998353897839	-2.50793320525454
Q8R7V4	83.5110919649196	165.549656903921	-1.67478312386831	0.989984616999154	-0.987224286245353
A3DD54	11.6037272284468	28.6036144488649	-1.68623214483988	0.989984295866657	-1.30160917504298
Q5KWP1	3.62411230092863	17.0446444886066	-1.67515635651009	0.989969203710638	-2.23361894234565
Q87QW9	7.56260531803621	49.0097252156417	-1.65509315208767	0.989962934510411	-2.69611282424081
Q5HPR5	1.11621949666987	7.17645710721144	-1.68542793812272	0.989927715791652	-2.68465103536169
C5DAS5	7.35048935213873	23.2041122830322	-1.67645354776108	0.989917481090203	-1.65846830118281
B8J0R1	2.19115743138487	12.9752936386051	-1.65414583540061	0.989916056317907	-2.5660021393526
P67474	12.468388307374	29.7999165657552	-1.67668303589439	0.989908425980971	-1.25703330028293
P46324	16.0102526393254	32.9050268307597	-1.67750150416944	0.989877585979022	-1.03931192470131
Q04A03	1.87907860376776	22.7807358216019	-1.65339476860659	0.989875629241791	-3.59971702455861
P46785	21.3018260709195	58.6948583912818	-1.67760432603263	0.98987450502632	-1.4622570214009
Q65PB8	3.60154095427733	13.2781270215268	-1.65298368206244	0.989853526209266	-1.88236544333807
Q895I8	10.574497290819	25.307848821525	-1.67948017092119	0.989821945730263	-1.25899580335262
A2RGI3	1.99305052463201	18.7179900168838	-1.6826288804987	0.989814631768462	-3.23137533449742
Q99XZ0	0.87312765144767	7.24905236079619	-1.68239931901752	0.989812065557245	-3.0535279130765
P23936	54.8602214235664	173.146883974852	-1.68111685910035	0.989798456320179	-1.6581640741831
Q0TJL6	3.56560363672212	12.5131430032451	-1.65175340983554	0.989781608715312	-1.81122596297816
Q8E3D9	6.04926791890886	30.1694501636441	-1.65169783926134	0.989778271579304	-2.3182559402738
Q65PB0	0.869651654989615	7.59332340387813	-1.65157761031656	0.989771052885216	-3.1262219144028
Q64Q87	11.8112275963812	26.6858189619369	-1.65125211604172	0.989751518864982	-1.17591436831682
P9WH76	31.3535092463911	62.0448293021662	-1.62090173434006	0.989682030464498	-0.984684057978991
A2RIE6	8.95063127911142	77.0321958014716	-1.62094888011418	0.9896819319216	-3.105400206977
Q59188	12.2486587330615	27.9545252101047	-1.62238119390527	0.989677186291555	-1.19045806371525
Q24ZM6	3.46529177972314	12.1522941777222	-1.61891461448432	0.989655180591375	-1.81017996113218
P21955	0.655481384864966	8.08750348180858	-1.61879871890062	0.989652993509841	-3.62506771342753
P44023	103.827226080737	185.656237320485	-1.64955707745043	0.989644104504389	-0.838448981071137
A9KSS1	17.124137177098	34.3132628525265	-1.62451041026531	0.989629139213124	-1.00273502071734
O05402	33.7292835901185	95.704451043626	-1.64930969175657	0.989628115023722	-1.50458434760626
P49051	0.840839699651467	4.88733695816151	-1.64927294376669	0.989625740628802	-2.53914588298791
Q00063	8.15526343635153	22.6772599566772	-1.62486411497993	0.989616517912065	-1.4754429475216
A6TRM1	7.9270432121136	20.6254061730059	-1.61730702852709	0.989604762123426	-1.37956778442628
Q8EAQ9	6.91423464564261	18.9295289642704	-1.61729869820825	0.989604464428974	-1.45299704225922
C4Z0T6	5.60528483730487	15.4820645904782	-1.61712596824931	0.989598295923558	-1.46573828124329
P12011	44.6902398174664	141.120882562869	-1.62557151616859	0.989591185768956	-1.65889979689907
P59199	34.1818329121903	109.820727226625	-1.62592477879107	0.989578490325053	-1.68384870488817
Q45068	72.235618667075	106.248907931531	-1.64849405417385	0.989575175836273	-0.556665716449486
Q8NZW1	3.95872241980565	13.7832590777025	-1.61644123678891	0.98957164878905	-1.7998102401257
C4Z563	7.08892239232595	19.0766537696855	-1.64836729891852	0.989566905469082	-1.42816988983338
C4ZBT9	35.5999390922524	68.7145237910934	-1.62634844442012	0.98956018688047	-0.94874029247831
Q837X9	0.791497627288836	12.9652278841594	-1.61619307740807	0.989559015933905	-4.03391872827927
Q4JWV5	0.709150002026163	5.14413707823785	-1.64771240669572	0.989524217906249	-2.85876635831346
P96105	1.63545184675006	6.94483182812	-1.62720265060655	0.989519506553752	-2.086250476982
Q8Q001	17.1669044015179	38.8374027936398	-1.64759005142577	0.989516250272024	-1.17781681463265
Q834N3	2.45591074710178	14.1556335379916	-1.62750535078734	0.989505037412377	-2.52704628253268
Q9I4E3	1.69527022005595	7.23631368007679	-1.62773532921321	0.989494025594846	-2.09373969516945
A5IKD4	72.4113970894615	127.836254214949	-1.64721637115522	0.989491931819481	-0.820008349731273
A3CM04	1.04743434209564	16.0254643091776	-1.62797257260662	0.989482648869535	-3.93543443971354
O07942	30.5504164981069	81.0531807375842	-1.61430941752858	0.989459933663668	-1.40767675331709
A9KTA4	31.807003790101	58.2069513712191	-1.64665660708211	0.98945653369261	-0.871846980575496
P96166	8.13366646310839	27.3583392650805	-1.628506357294	0.989454885213485	-1.75000292028207
P29166	67.5042386025122	103.007686886157	-1.62860849322122	0.989449556360533	-0.60970200448329
P45054	0.990195430580295	5.87741637043304	-1.61408674385719	0.989446460480646	-2.56939690908891
Q3K419	0.950349146312214	9.41068679269705	-1.62910441467409	0.989423635285565	-3.30777047086033
C4Z3N5	11.5027636314078	25.7916525291954	-1.61370250872928	0.98942326600412	-1.1649236909116
A9KLL7	6.71633472253796	19.0976380788565	-1.64606510233055	0.989420017569432	-1.50764818552341
P20709	6.48194122064933	26.3631415604989	-1.62932151282313	0.989412263400084	-2.02402445594343
