	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K03818	34.7056668207146	31.6126757233708	0.110541430233229	0.625358694811641	0.134668097257937	0.374641305188359	K03818
K03819	1.36139173675291	0.95396499645268	0.237835379778487	0.93586727040292	0.513074022191933	0.0641327295970802	K03819
K03820	1.33803935317085	0.896801722314967	0.254994106484593	0.945859278398072	0.577259593843962	0.0541407216019281	K03820
K03821	0.544880028241981	0.433472710652105	0.302309933317604	0.962114630279568	0.32999744087103	0.0378853697204323	K03821
K03823	3.83036866159702	3.85600764038661	-0.00722626027766764	0.0132282714778013	-0.00962465621968733	0.986771728522199	K03823
K03824	2.32457516275043	5.18675031729351	-0.7633641442593	0.96420968483388	-1.15786384743341	0.0357903151661197	K03824
K03825	1.42952004674817	3.40936589247666	-0.734877799298	0.961299378599202	-1.25397258591708	0.0387006214007983	K03825
K03826	7.37295964038165	27.5091455899681	-1.48243655274605	0.993154458036768	-1.89959556671821	0.00684554196323239	K03826
K03827	4.65587003277473	12.9957173226158	-1.10502478046827	0.987925306592207	-1.48091357670627	0.0120746934077928	K03827
K03828	29.6182268522555	20.370605285324	0.420115610198435	0.967786522796763	0.539996425014918	0.0322134772032368	K03828
K03830	9.38717685040072	5.97620997756863	0.407496651233447	0.968817522399324	0.651460500377903	0.0311824776006759	K03830
K03831	4.23330222388058	5.05984995263035	-0.163330985365986	0.577948306541382	-0.257311113933179	0.422051693458618	K03831
K03832	462.848947139482	371.6382616745	0.632642947211988	0.952941107949277	0.316642399500166	0.0470588920507233	K03832
K03833	0.711218955594665	0.655621406237275	0.0760193554894757	0.43366548664886	0.11743081613182	0.56633451335114	K03833
K03835	0.84416269688696	0.531943583313468	0.32990511609504	0.967186954312584	0.666247833762683	0.0328130456874163	K03835
K03837	0.832314680160754	0.433472710652105	0.475628961519812	0.962037655288211	0.941187912069008	0.0379623447117895	K03837
K03838	1.38511504287466	0.423240985381666	0.78228183887677	0.964364161118531	1.71045456095159	0.035635838881469	K03838
K03839	27.3074653497366	40.6361477250991	-0.485374263238783	0.902755209372755	-0.573468231356637	0.0972447906272448	K03839
K03840	1.12066984524881	0.857659889970374	0.19912544707289	0.898910067057683	0.385883758693943	0.101089932942317	K03840
K03841	1.57597693380944	1.17025922571322	0.203420460669481	0.904443486143957	0.429418280938528	0.095556513856043	K03841
K03842	0.640024873871043	0.407216677898124	0.531238243358773	0.955072314900563	0.652331325576491	0.044927685099437	K03842
K03843	0.582276245279902	0.440199307188861	0.345183522298561	0.968864053536076	0.40354688871004	0.0311359464639238	K03843
K03844	0.783248378265539	0.423240985381666	0.642067628325361	0.953473006401304	0.887990537007701	0.0465269935986957	K03844
K03845	0.602484342775335	0.419682530965766	0.445435782480826	0.964987723582303	0.521625336246783	0.035012276417697	K03845
K03846	1.49411308283661	0.450326750145079	1.20988368411034	0.987836562165323	1.73024525970948	0.012163437834677	K03846
K03847	0.556102662290487	0.433472710652105	0.323779400532591	0.966218349469037	0.35941007273395	0.0337816505309627	K03847
K03848	0.58354073185901	0.435038046856498	0.352301311455309	0.969254674971954	0.423691781954008	0.0307453250280465	K03848
K03849	0.684387947829299	0.414570898735771	0.563337720643755	0.953689960174145	0.723195505560349	0.0463100398258552	K03849
K03850	0.554175697959058	0.418926525704678	0.356910566990132	0.969401784526744	0.403646210232085	0.0305982154732563	K03850
K03851	0.587283637331121	0.409899543118408	0.423641964332884	0.967430993191203	0.518787060666642	0.0325690068087973	K03851
K03854	2.44437689925098	0.832115387551898	0.868342796571536	0.969744265847049	1.55461124931777	0.0302557341529515	K03854
K03855	0.608337896078056	0.585357645101676	0.036969426255729	0.153749178488441	0.0555545189051806	0.846250821511559	K03855
K03856	1037.40488107846	536.786774645469	2.57903489883551	0.999999319132696	0.950558030870322	6.80867303537447e-07	K03856
K03857	0.573383701423923	0.449561314864629	0.266824928387226	0.951371044661126	0.350983000432866	0.0486289553388745	K03857
K03858	0.534668941089181	0.433472710652105	0.277461352644414	0.955449883042736	0.302704701841792	0.044550116957264	K03858
K03859	0.53362607307349	0.433472710652105	0.275943146502799	0.954917173926836	0.299887987408948	0.0450828260731644	K03859
K03860	0.559053082879813	0.423240985381666	0.354331539772678	0.969327966946437	0.401505935046936	0.030672033053563	K03860
K03861	0.539438363870154	0.433472710652105	0.289464888879237	0.959091079345229	0.315516955860297	0.0409089206547711	K03861
K03865	0.547526301625989	0.423240985381666	0.335850221623597	0.967978603529754	0.371448928939667	0.0320213964702464	K03865
K03868	0.530699896202429	0.433472710652105	0.268335744425422	0.952000935063242	0.291955095382958	0.0479990649367583	K03868
K03869	0.598305104404682	0.413133943491575	0.47334777532491	0.962270469525453	0.534271773004193	0.0377295304745471	K03869
K03872	0.561640098054109	0.433472710652105	0.33584836039957	0.967978374161796	0.373704768718295	0.0320216258382041	K03872
K03875	0.539536354647971	0.443907688459787	0.24910353736555	0.9427164769316	0.281460477333087	0.0572835230684003	K03875
K03883	0.535302890637146	0.423240985381666	0.306402254838814	0.962963414363146	0.338876102774099	0.0370365856368535	K03883
K03885	68.8100756744094	109.791820539705	-0.68138112591808	0.955266658841988	-0.67407884250005	0.0447333411580119	K03885
K03892	1.13794203700469	1.09719657578506	0.0339500232397043	0.131775215449919	0.052605048579976	0.868224784550081	K03892
K03894	0.567461743103715	0.433472710652105	0.345076470791694	0.968856233837156	0.388581961481312	0.0311437661628438	K03894
K03902	0.546751872546839	0.500499959077837	0.0913824752711627	0.524224505968707	0.127516305202855	0.475775494031293	K03902
K03910	0.541261998324923	0.418506809849618	0.328162090892821	0.96692609730244	0.371076002689411	0.0330739026975597	K03910
K03911	1.10920569433201	0.852808108955018	0.170030563226529	0.847170151310099	0.379233866686144	0.152829848689901	K03911
K03912	0.544875715319377	0.431326383298227	0.307203154939423	0.963125367612842	0.337147227273637	0.0368746323871576	K03912
K03913	0.532926850682606	0.529407167417488	0.00654573938445969	0.00252916029140515	0.00955979585615465	0.997470839708595	K03913
K03919	0.552842141864468	0.433472710652105	0.320663170476023	0.96568032265471	0.350926421993868	0.0343196773452901	K03919
K03923	0.709059508220647	1.0347989770556	-0.340253508131525	0.815412046804418	-0.545371916311781	0.184587953195582	K03923
K03924	857.261476088973	1084.91561066084	-1.09223910054444	0.987611558259811	-0.339775610449923	0.0123884417401889	K03924
