	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
K01224	4.67912748221323	101.32766502662	-2.28747418906814	0.993371498767522	-4.43664477481997
K03366	89.5344446286592	949.620613831469	-2.34684479925218	0.993324513372488	-3.40683654174795
K01921	788.166751549415	1653.73028742977	-2.08274590314257	0.993302784095417	-1.0691511631421
K03977	2292.10323319392	5104.7972381924	-2.08585074502296	0.993144760938484	-1.15518163603377
K03367	116.117981059121	975.666563844314	-2.29611701160656	0.992919739016608	-3.07079679468476
K03070	2294.32785962504	4420.40829603276	-2.29874066843716	0.992626488780168	-0.946108064621203
K01928	891.140052479157	2082.42099250239	-2.0932663854943	0.992491478353614	-1.22453767036877
K01804	813.395891843318	8270.09468946343	-2.24494357694314	0.991650103732189	-3.34587423838381
K01635	19.3968383379971	520.486429712052	-2.06784473341163	0.991383234886851	-4.74596713052961
K19005	226.976590517125	1231.99858901251	-2.13625032956616	0.990727294081867	-2.44038518739396
K02086	2.39935948090401	62.3286832077305	-2.40427589590275	0.990308585420007	-4.69917500501014
K17723	105.974199961354	594.842913308096	-2.1803618210542	0.990083377047312	-2.48879565542303
K00712	3.03731237053627	60.415060788334	-2.17858640825736	0.989608161923213	-4.31404104753154
K23304	22.4583433415533	282.155192978858	-2.14909164305967	0.98790683037429	-3.65116548700968
K01919	43.8966463969867	314.05414430643	-2.16817497494517	0.987326659779526	-2.83883067699358
K03293	92.7517944230477	1033.54454012732	-2.16760388275006	0.987240874971219	-3.47808155904787
K18104	6.71168268148555	98.323260405391	-2.16466275386285	0.986899609534866	-3.87278634236357
K22927	363.210369616158	1096.58779756321	-1.99289467768501	0.983870273114955	-1.59414402792787
K00841	5.08590493171847	70.0747508463326	-1.99947945379816	0.983466347607734	-3.78431830989053
K01854	998.566449959348	1636.31077106623	-1.98395040067836	0.983111315282363	-0.712516432892218
K11936	7.06496789957843	92.511860145291	-2.00355980846157	0.98284222472235	-3.71088342228578
K00135	13.2403351856405	137.202378248103	-2.04446125501985	0.982341349643704	-3.37329393895555
K21567	56.2731223271022	491.22362230512	-2.01003553843642	0.981476667854134	-3.1258620207102
K04771	2514.85373143001	4746.01204793972	-1.62447618186817	0.981200812176027	-0.916241270230787
K12234	3.37709478996487	70.1359872889113	-1.97375559948258	0.980747506982384	-4.3763003123082
K03319	1.4256671464913	39.2694421542376	-1.63082011094652	0.980627292329316	-4.7836980066481
K06113	52.3765390507192	165.337546013695	-1.63113780725999	0.980561953454167	-1.65842174197112
K03544	1166.07595708892	1893.74823063494	-1.62005857523634	0.980551322311733	-0.699582773254115
K00897	4.93280495145814	97.745826965534	-2.03815398379635	0.98044466623138	-4.30855496334884
K03502	938.588797958505	1824.38859840601	-1.63341742053671	0.979960374098754	-0.958847912112033
