	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K00099	530.599063810339	522.16805421147	0.0470448241549118	0.0632982955417163	0.023107932556265	0.936701704458284	K00099
K00100	414.95938592182	326.366057438009	0.471027962773778	0.919072003904082	0.346479117189477	0.0809279960959184	K00100
K00101	0.959670179919317	1.26092690857204	-0.229864179131398	0.485962491937551	-0.393874080466405	0.514037508062449	K00101
K00102	0.576634940144456	0.566019064462044	0.0174299509409071	0.00302650776226365	0.0268076107207262	0.996973492237736	K00102
K00104	38.5540856972626	28.9785992578604	0.328349963251107	0.949974694511986	0.411895894304287	0.0500253054880141	K00104
K00106	6.24674013842798	0.871716875834272	1.08258461289999	0.941729614802661	2.84117197116412	0.058270385197339	K00106
K00107	0.603302052392368	0.421715659948799	0.38830874227737	0.948735937418875	0.516609894811946	0.0512640625811251	K00107
K00108	0.599551270666891	0.440300407679454	0.327234153182656	0.949797981642682	0.445394950993364	0.0502020183573177	K00108
K00111	172.202696205052	349.979321746773	-0.811025553103851	0.917090835816923	-1.02316195265508	0.0829091641830771	K00111
K00112	0.712551348732872	0.53542878195226	0.269790152306594	0.926877153658474	0.412299290061279	0.0731228463415258	K00112
K00113	1.27067335739681	3.3851224154981	-0.610643449800171	0.850243872409995	-1.41361479157601	0.149756127590005	K00113
K00116	0.681132689468783	0.435966979304616	0.428121313036738	0.935797824554172	0.643717005244227	0.0642021754458282	K00116
K00117	1.10674790384827	0.571768989610577	0.534146334207873	0.898636966441923	0.952822359630849	0.101363033558077	K00117
K00118	0.669804742340079	0.604994312934119	0.094292972674974	0.245139909608512	0.146819009792531	0.754860090391488	K00118
K00121	46.2018229421337	11.9041079330725	1.18124430972697	0.948733795870607	1.95649026347863	0.0512662041293928	K00121
K00123	64.7041370040752	110.630325204759	-0.804940377024207	0.915886164020167	-0.773817038954568	0.0841138359798328	K00123
K00124	31.9995478518906	43.4088826314731	-0.320445034655551	0.664019077879515	-0.43993876708069	0.335980922120485	K00124
K00125	1.40314604190636	0.514477607737974	0.703827685684594	0.90249357200211	1.44748498365777	0.0975064279978899	K00125
K00127	0.630315852277656	0.43533172842849	0.374682500896691	0.950807855513791	0.533959774203929	0.0491921444862088	K00127
K00128	1512.21783992188	1512.1005072495	0.000164999665251925	0.00140402443656185	0.00011194275551519	0.998595975563438	K00128
K00129	0.782659974316045	0.740069437811783	0.0495971747808068	0.0715204059802541	0.0807250269961596	0.928479594019746	K00129
K00130	0.617573685355077	0.436956491138904	0.309391207215708	0.945820202661191	0.499121646987176	0.0541797973388087	K00130
K00131	2.24004989881656	0.615530130215606	0.904248195112631	0.911237719505221	1.86362948626102	0.0887622804947793	K00131
K00133	982.256580391635	435.943992018972	2.0743015432523	0.998231778162533	1.17195713129606	0.00176822183746739	K00133
K00134	7731.84680854906	3317.53179089384	2.10446155791921	0.997666907421647	1.22070276307878	0.00233309257835279	K00134
K00135	91.3368364722512	21.0608771040913	1.22603129720935	0.958252279643442	2.11663130134734	0.041747720356558	K00135
K00138	1.42188341962902	1.23877470429284	0.10105362471902	0.278507340789715	0.198889354410777	0.721492659210285	K00138
K00140	0.715084384906396	0.474921439916849	0.377150735316246	0.950527843462495	0.590424613052701	0.0494721565375055	K00140
K00142	1.31460535004922	1.00948183902449	0.199607544009522	0.810237703641153	0.381014805258325	0.189762296358847	K00142
K00143	0.574921853181636	0.442827123591837	0.28880059375222	0.938007805177109	0.376622278341236	0.0619921948228911	K00143
K00145	615.30847266862	555.206600711674	0.268596474090963	0.926025148637908	0.148285138427112	0.0739748513620917	K00145
K00146	0.582440846511793	0.435964284036837	0.321640614039015	0.94879745821356	0.417901586715766	0.0512025417864397	K00146
K00147	2386.41428497072	1595.82478265375	1.17806889228987	0.947370866784811	0.580542262569784	0.0526291332151887	K00147
K00150	6.73558404280838	9.47127925883512	-0.231317024362552	0.491955003662413	-0.491756252316996	0.508044996337587	K00150
K00156	1.01572733452184	0.715765021698864	0.232701470950259	0.88762965685854	0.504955223494736	0.11237034314146	K00156
K00157	0.582440846511793	0.432053121183513	0.32941081991606	0.950130131946217	0.430902831635521	0.0498698680537832	K00157
K00158	0.998037809001711	0.593164799294057	0.350324203056378	0.951810242313869	0.750661485500256	0.0481897576861307	K00158
K00161	310.862088598846	6.51516325244551	2.53584217595775	0.996304561211588	5.57632954301059	0.00369543878841161	K00161
K00162	5.41548518727198	2.11309981238629	0.597517909630685	0.893551361624126	1.35772968372794	0.106448638375874	K00162
K00163	11.7848235108879	0.911046839494716	1.60433186337363	0.981636080629643	3.69326111380669	0.0183639193703571	K00163
K00164	0.966113352420706	0.49619234081399	0.504351855745668	0.907694577236039	0.961293001848856	0.0923054227639614	K00164
K00167	2.01800230537522	2.81491155687081	-0.229659698618623	0.485096325044599	-0.48016177166606	0.514903674955401	K00167
K00169	15.8326621815252	42.6179571180397	-1.00841255981201	0.935753701771932	-1.42855758182679	0.0642462982280676	K00169
K00170	6.69301813872322	9.62678828413869	-0.312095423109329	0.655735033162556	-0.524397638260005	0.344264966837444	K00170
K00171	1.47303379100982	1.04324254738085	0.25451684366664	0.91426563986057	0.497715911352825	0.0857343601394303	K00171
K00172	88.4903827254021	164.217664381041	-0.78946334101362	0.912213445732219	-0.892016747208775	0.0877865542677815	K00172
K00174	79.5483451310228	152.131308714263	-1.01412951119524	0.937060558296316	-0.935413267972924	0.062939441703684	K00174
K00175	22.9934683435264	66.7209841642517	-1.22314795583359	0.956666240478322	-1.53691647019421	0.0433337595216776	K00175
K00176	0.595604377490798	0.403657300433437	0.408971556942636	0.943022551075041	0.561223373163879	0.0569774489249594	K00176
K00177	2.68275104791868	5.92438570012618	-0.612828163831944	0.851073181197455	-1.14295238604865	0.148926818802545	K00177
K00179	111.274685702631	122.320418863173	-0.169754679567925	0.215021329941495	-0.136539826178894	0.784978670058505	K00179
K00180	4.68112600969212	4.63067261215337	0.00876319701407566	2.23333875831733e-05	0.0156338386781292	0.999977666612417	K00180
K00184	4.00093121809216	2.79504707496286	0.319758127761611	0.948411575489629	0.517463245295817	0.0515884245103715	K00184
K00185	0.67691256403673	0.665540645144644	0.0140129323419698	0.00118562331735772	0.0244427192252168	0.998814376682642	K00185
K00186	473.878421282952	621.434015600486	-0.888385517832067	0.926736168354897	-0.391084245478075	0.0732638316451033	K00186
K00187	1914.66067383075	3441.7320900483	-1.57226728986151	0.980085104304028	-0.846046067199917	0.0199148956959718	K00187
K00188	5.03884213941231	13.5982390397273	-0.813494901052835	0.917576251294963	-1.43225567149639	0.0824237487050369	K00188
K00189	0.614924859641597	0.615807038293383	-0.00127481450968407	0.0019423656422215	-0.00206822458443641	0.998057634357779	K00189
