	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K00060	79.0958640408706	128.174484563645	-0.871027428053553	0.800020239803776	-0.696434933548465	0.199979760196224	K00060
K00063	0.709401925921886	0.517246564144986	0.319849334038062	0.215037762973541	0.45575109009266	0.784962237026459	K00063
K00065	17.9422727710994	7.61818738772309	0.871793301579267	0.821022237590396	1.23584296987541	0.178977762409604	K00065
K00066	0.54041498756616	0.543231661265984	-0.00573173006568821	0.178063869004802	-0.00749988076713703	0.821936130995198	K00066
K00067	174.684154667783	264.347081350872	-1.03068885809063	0.874837000282245	-0.597684648517751	0.125162999717755	K00067
K00068	0.520299116427169	0.525890215347521	-0.0125808987998132	0.177253705813638	-0.0154203971218198	0.822746294186362	K00068
K00073	1.20934736653262	1.18223078758155	0.0179123487526159	0.184543127592739	0.0327169994287892	0.815456872407261	K00073
K00074	649.406970665878	224.325912242263	2.35603788027324	1	1.53352659239899	0	K00074
K00075	679.760110205066	455.7809216438	1.52424575376209	0.969770318624476	0.576685167238222	0.0302296813755241	K00075
K00076	93.2347987921753	45.2374789208719	0.700940785907477	0.695777020170025	1.04334999399948	0.304222979829975	K00076
K00077	24.8132519297759	20.1294329243652	0.161713855130131	0.0334644628286574	0.301804291710899	0.966535537171343	K00077
K00078	193.552825512867	69.3825931538116	1.80406058235072	0.987415119873215	1.48008170141699	0.012584880126785	K00078
K00081	0.538887733712578	0.528552182244174	0.021291678404783	0.181461203569793	0.0279388368970008	0.818538796430207	K00081
K00082	0.497382169112924	0.500375268627645	-0.00704288324071818	0.177646799670461	-0.00865569649777165	0.822353200329539	K00082
K00083	0.503250218664203	0.512092706075088	-0.0209602504470948	0.181209322842145	-0.0251291163931972	0.818790677157855	K00083
K00087	391.550835888745	456.826892176227	-0.469052367923156	0.457856671690798	-0.222447952912988	0.542143328309202	K00087
K00088	1311.26841090605	1575.66883339298	-0.897894591386858	0.817897097314687	-0.265001318698197	0.182102902685313	K00088
K00090	0.738444199047125	0.861794439201777	-0.112373359125312	0.249871548021299	-0.2228548823286	0.750128451978701	K00090
K00091	0.651151923112893	1.23998299860989	-0.464988625903438	0.454549673077381	-0.929254250687386	0.545450326922619	K00091
K00093	5.2580542885683	4.63257558893479	0.126357702924011	0.0325085418474486	0.182714520977968	0.967491458152551	K00093
K00094	17.6695295368402	45.7805738984114	-1.01391798017107	0.862241262100951	-1.37347192074483	0.137758737899049	K00094
K00096	6.9336201190783	10.7041824796071	-0.444160269166423	0.444802352240891	-0.626493914572825	0.555197647759109	K00096
K00097	1.61247206517424	1.12994982457792	0.312467708786549	0.205244089424103	0.513015455992334	0.794755910575897	K00097
K00098	1.18066040122615	0.712612201846409	0.38794300445967	0.297504772238733	0.728404963769915	0.702495227761267	K00098
