	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
P39808	1.05016224886398	2.88708488824377	-0.903187653783509	0.971763039415051	-1.45900128756125
A0Q0Z7	1.94607392536074	3.90532857753386	-0.903156927556709	0.971761607829755	-1.00487742091801
Q8VYU7	0.970823869761071	2.39531942745701	-0.903048685025024	0.971756565321535	-1.30293657341687
A0A1U9YI12	7.96570696608414	13.7156372672318	-0.902884392009668	0.971748913735899	-0.783947341960973
Q180P9	0.945512042444016	2.27526268056123	-0.902803260487069	0.971745136125021	-1.26686537682764
P22076	1.05697688020559	2.57184419399458	-0.902597710782546	0.971735568104115	-1.28285942451971
Q4QQZ4	0.690315514331217	2.05041537723504	-0.902506021669027	0.971731301363882	-1.57058839011071
Q58880	2.16017289936649	4.30298324640475	-0.902308134263053	0.971722095319824	-0.99419043344886
P07719	0.565518002188335	1.52045167963383	-0.902257743612272	0.971719751636388	-1.42685511235098
A4Q8F7	3.61631850217502	9.81039691193013	-0.902197485919567	0.971716949338577	-1.43978975991736
Q86AX3	123.502386218718	163.988654424677	-0.902149790069301	0.971714766748021	-0.409057088531068
Q8A9U7	13.6806086684765	21.4365775085854	-0.902086560328071	0.971712176346504	-0.647942169300432
Q8R6C8	2.07411181083109	5.65688696446932	-0.902072300326256	0.971711592182147	-1.44751467465391
P52062	3.23680981911248	5.81244789319653	-0.902005490959805	0.971708855519738	-0.844573276307462
A7FQY1	1.64993326431035	3.80115225456744	-0.901925399328674	0.971705575218317	-1.20402914105331
Q96VA4	1.21881821341688	3.19167754836245	-0.901640115700421	0.971693894728152	-1.3888319408253
Q8RFB5	4.14324245843746	10.4960756161406	-0.901639267364428	0.971693860003284	-1.34101786563032
Q57720	11.1619824273084	17.5135296510144	-0.90158854628577	0.971691783937562	-0.649876591493757
Q8EM16	80.4883208305692	102.761516078646	-0.901288713841196	0.971679515347138	-0.352448717275356
Q8KB57	2.93354504948396	6.29989841605946	-0.901228388809947	0.971677047755506	-1.10268341861119
Q83P87	0.618978322160524	2.27347807234769	-0.901161930736468	0.971674329601263	-1.87694029996739
B0JFL6	0.927121717055615	2.11175599718768	-0.901091493296795	0.971671449043479	-1.18761248772034
A8MKR7	2.5782556265554	5.3888285730387	-0.901064906370227	0.971670361858664	-1.06357638328659
P9WMW0	2.04244262433553	4.88715871548334	-0.9010562719742	0.971670008794622	-1.25870040714531
P0A991	12.2147193993591	20.6938438536233	-0.900912058841607	0.971664112667865	-0.760580926839736
P35187	2.03571187522396	4.35207416305768	-0.900868958406299	0.971662350810633	-1.09616975774219
A6LQQ3	3.99981481620246	7.33918140402538	-0.900854994470868	0.97166178002285	-0.875685949527658
Q9KD89	2.58167963689401	5.08113529982381	-0.900749119750659	0.971657452768225	-0.976840894208471
C4Z0V2	10.0512744761881	15.5518197757053	-0.90070044934664	0.971655463813243	-0.629704962207357
Q2RFW0	1.69875538750068	3.697904212642	-0.900509891693962	0.971647678192153	-1.12222972846317
Q8REC3	0.97466133680814	2.29567791866273	-0.900420340775687	0.971644020325478	-1.23594732619953
P33333	5.03964861507872	8.57196575938739	-0.900310169947598	0.971639521007316	-0.766302940567483
Q48660	1.06113342620124	2.45775642410822	-0.899992756699482	0.971626562984433	-1.21173587337772
Q69ZQ1	0.643263909570109	1.45363904649536	-0.899992478915913	0.971626551647473	-1.17618642431161
Q2LTT5	3.59906587436596	7.60837718507807	-0.899981225703407	0.971626092383793	-1.07996626111864
O05131	29.574056428735	41.9157349584399	-0.899594704372771	0.971611451749656	-0.50315978656893
A0PX78	1.42674730299702	3.02040635685242	-0.8995657045663	0.971610382214497	-1.08201282281441
O87692	3.31813144455811	6.15666019359713	-0.899561197035378	0.971610215977834	-0.891776905257644
P95160	5.6690403470635	10.8470807980353	-0.899545473890539	0.971609636121575	-0.936130389988754
A5IJL8	1.06699262177255	2.58182998546678	-0.899499472289716	0.971607939706904	-1.27484380173318
Q9CNA6	1.77172683901184	3.7796346779143	-0.899490889652073	0.971607623216518	-1.0930906074682
Q57890	2.47108556909149	5.321692104952	-0.899175688098516	0.971596003020735	-1.10674007396055
P0AFN6	0.961376587179828	2.15052498862374	-0.89886954890678	0.971584722632528	-1.16151532073714
O31601	1.14703623697391	2.76997059760638	-0.898858225307318	0.97158430549695	-1.2719596931373
Q02499	181.302592419488	212.013207686363	-0.898768179532045	0.971580988689982	-0.22575458836074
Q895L3	13.2021820376885	19.546738904341	-0.898505636735663	0.971571320789277	-0.566151538583714
P37894	0.729081945404485	1.88873571108116	-0.898421308499186	0.971568216355899	-1.37326795999914
B1L993	1.14517072020265	2.73926919391695	-0.898400485897059	0.971567449864791	-1.25822836077318
O06983	11.6683757253947	19.8109664320499	-0.898225665490221	0.971561015657789	-0.763695513141598
A9KNY7	7.89344127596208	12.8039205313825	-0.897937502055093	0.971550413897172	-0.697859318612663
C4Z3J5	0.58613262893905	1.50421534090777	-0.897817670785406	0.971546006674731	-1.35971205866903
P59950	2.31366475321732	5.40028330492997	-0.89771537303049	0.971542244990333	-1.22285525956632
B3EE33	27.4233813693179	43.2438762317761	-0.897694811363956	0.971541488974105	-0.657089377195122
O48471	9.78545037622749	17.2434850765819	-0.897647345327566	0.971539743828296	-0.817341228980346
P26391	32.5365390961105	42.9210326927281	-0.897605756431437	0.971538217271908	-0.399623988136191
Q920P0	2.545491624048	5.56431452501717	-0.897156517753578	0.971521898742902	-1.1282596526619
P0AGL7	7.0631691601321	13.6120327790552	-0.89693974624162	0.971514028364216	-0.946494976556237
P0AC11	16.9013648887444	30.6283660535537	-0.896327874336321	0.971491826358908	-0.857728647156887
A6VKH3	0.695475676520383	2.42497894691825	-0.896265780148836	0.971489574351665	-1.80190025809816
P37511	0.998451798940157	2.33221370322954	-0.896080807465676	0.971482867040981	-1.22393530307599
Q8RIA6	1.76000833754185	4.33074641265127	-0.896037809776789	0.971481308156387	-1.29903343446788
Q8YW42	0.587407012386807	1.51368169550411	-0.895902845260163	0.97147641564015	-1.36562946656721
C5B970	0.846426700856563	2.57651419077401	-0.895829845615668	0.971473769774617	-1.60596349485049
A0Q2S8	50.5101247379352	81.3394957048136	-0.895789174902059	0.97147229579005	-0.687383441690525
B7JN13	0.829396720835355	1.89330759020021	-0.895725756291773	0.971469997552003	-1.19077456452613
Q5P7U7	1.96889267906747	3.96376857517546	-0.895688275697419	0.971468639385822	-1.00948825858915
Q5L7B4	5.01690004748064	9.66454947333719	-0.895639933314754	0.971466887735522	-0.945906285391706
B0KBS9	6.46662107780476	10.7061298509292	-0.895338015855461	0.971455948110118	-0.727353074909298
O32591	1.10996469371913	2.82907410194935	-0.895227031586684	0.971451630105493	-1.34981617836568
Q2SN12	0.58252185291943	1.46958864029458	-0.895202238375528	0.97145066557524	-1.33502830214461
B2A397	1.3350817433069	3.08791765127819	-0.895091849995029	0.971446371516251	-1.209706202481
A9VMW5	0.742463131111381	2.02185243650198	-0.895041827310018	0.971444425860326	-1.4452864148602
Q5L8B5	7.2874606538883	13.7860257537564	-0.894803265056131	0.97143514862142	-0.919718521422096
Q182Y8	3.01504010450517	6.18503056976698	-0.894777761641789	0.971434157012832	-1.03660353356184
Q87TR5	0.892609129687742	2.3518739625789	-0.894702970507923	0.971431249219312	-1.39771028012011
P17412	57.8714490092435	83.3159210693891	-0.89466689403152	0.97142984670904	-0.525740443159079
O34779	3.87643710838309	7.15933140970118	-0.894658337175438	0.971429514062141	-0.885093605737213
Q5Z1V7	0.884997315897953	2.18128798611212	-0.89440540085771	0.971419682871119	-1.30143527062638
Q56732	3.31801525921616	6.68809651209281	-0.894235621999969	0.971413085689621	-1.01127514515799
Q2G0D4	1.29452607676371	3.14787391063609	-0.894229185490664	0.971412835611811	-1.28195372727814
Q54VS2	0.579628606432495	1.31999275323589	-0.89390256980538	0.971400148371167	-1.18732930605808
Q08B09	4.78284672783114	8.7416331338075	-0.893764303414321	0.971394779107809	-0.870033273669513
A6LSF7	0.721800946502889	2.01075284493402	-0.893659105809795	0.971390694646585	-1.47806282108912
A4XHE2	2.15347608087535	4.46450766359307	-0.893558322515846	0.97138678210493	-1.05183378743565
B8I2Z6	1.05854321951816	2.75448465428412	-0.893527219649176	0.971385574754367	-1.37970225072474
Q5L8B8	6.736861439864	11.6690950706261	-0.893510379241322	0.971384921064188	-0.792544153320341
Q9L1I4	1.12992831043495	2.486655773614	-0.893296624450704	0.971376625045331	-1.13797556775436
P53259	3.48733307394967	7.10119435101643	-0.893281319567264	0.971376031137768	-1.02593753014644
O05241	17.8814575954483	27.977984459703	-0.893097665072537	0.971368905333298	-0.645827692503182
Q8DEV0	1.25511673309737	2.78367222306174	-0.893037940029511	0.971366390475825	-1.14916779470947
E3PTZ4	0.896396526020634	2.22251815271909	-0.892982379640072	0.971363851763658	-1.30998623969521
A1KRG6	0.555243600172033	1.35056334544827	-0.892949717125274	0.97136235939668	-1.2823685438901
Q59228	1.20638462770111	2.82610863622211	-0.892897751163855	0.971359985161641	-1.22812697388136
B3DPZ9	1.67295138552166	4.41828724729732	-0.892868459078152	0.971358646919754	-1.40109169351154
P53383	31.8901870072398	43.203235410145	-0.892868156264432	0.971358633085605	-0.438026799466712
A0L862	1.57627132820518	3.73309998928771	-0.892743991326289	0.971352960976383	-1.24385825955397
B1YEC6	0.770584700743753	1.81292081526647	-0.892635454052744	0.971348003438486	-1.23429046444104
P02925	4.44872439814112	8.43660300139077	-0.892613662382819	0.971347008159352	-0.92327048939522
Q9KMG5	0.989979463476725	2.43402963472352	-0.892437918320072	0.971338982413217	-1.29787623043325
P0A5Z3	506.948785203061	638.401623521988	-0.892359829154207	0.971335416820234	-0.332624315007368
P0AC38	6.34379343560234	16.3981182290481	-0.89201150083818	0.971319515885868	-1.37011256705718
Q3ZC84	3.2571841032673	6.71838928258321	-0.891787444301721	0.971309291253303	-1.04449012548739
Q58843	3.42801033885228	7.86456447479396	-0.891614954347017	0.971301421623385	-1.19799541342472
O61902	4.80989141266795	12.5143537498909	-0.891388026785796	0.971291070739216	-1.37950756172879
P37692	0.56568093228652	1.3279731404219	-0.891168909747059	0.97128107869474	-1.23116551982626
A4J7B3	0.879563371428011	2.04628623679848	-0.891157695075279	0.971280567358059	-1.21814853408167
Q9RL99	0.835480656476687	2.01890905906376	-0.891062402662461	0.971276222736373	-1.27289759483278
Q5LFT6	4.22315696931303	8.53794187989916	-0.890924746532365	0.971269947490878	-1.01556647054508
Q55791	2.72093593863727	5.20357663978566	-0.890511291274102	0.971248259290295	-0.935400599570268
B2V1Y4	0.608288810032436	1.5215589154356	-0.890499288819107	0.971247591713988	-1.32272182670785
A0A0H3GGY3	31.8570592009639	47.7906804042174	-0.890456806413169	0.971245228909557	-0.585116213146565
P83615	0.676463448367586	1.60961708144387	-0.890396779518973	0.97124189048417	-1.25063363270913
P09623	1.31998045059781	3.18694371853498	-0.890283519289147	0.971235592021234	-1.27165697843772
O34162	2.13404817158795	4.82224288045708	-0.890178970608552	0.971229778662768	-1.17611157426292
Q8NLE4	7.63458605885337	12.5326160305342	-0.890142653957522	0.971227759446137	-0.715065748579688
B1HT97	0.827561858071131	1.91680583147025	-0.890047589064957	0.971222474166437	-1.21176514361518
Q9X1S1	2.39487966949323	4.98226261556065	-0.889986271140473	0.971219065375431	-1.05684789847883
Q8ZZJ7	0.865706417652759	2.35739344323614	-0.889676862390426	0.971201867973926	-1.4452428013608
B4E6D7	0.990203748119597	2.81237686979007	-0.889675163015206	0.971201773535198	-1.50599261897883
B2RLI7	1.47087146165224	3.35724274275709	-0.889443700840701	0.971188912116422	-1.19060567765062
A0Q2W0	2.28609500158823	5.14704596474724	-0.889334597713034	0.971182850756083	-1.17085930849741
Q6LZH1	0.581686634314497	1.64874812013902	-0.889110256612834	0.971170389340037	-1.50305695437179
Q839E9	2.73094871805734	6.60092142546236	-0.889095420837469	0.971169565362315	-1.27326520161885
Q46ZL2	0.556799884298745	1.42058571464863	-0.889001012357515	0.971164322217307	-1.35125506631288
Q9CKP2	1.49106674098043	3.29463469569499	-0.888841533917605	0.971155466449124	-1.14377367526961
Q7WJ92	1.31127831067931	3.48260430248719	-0.888819010066446	0.971154215826346	-1.40919264044042
A9VH61	0.742623013943141	1.77257272917354	-0.888814886559682	0.971153986874338	-1.25514289264939
Q5LCI1	6.10065576896118	11.0888091864598	-0.888780245533692	0.97115206351757	-0.862068210923458
P73627	1.21566057682531	2.81551563351175	-0.888693993492656	0.971147274884783	-1.21165868985908
P0A607	42.0076877384105	61.2559280592889	-0.888667882928558	0.971145825334247	-0.544196091447956
Q899I8	11.3123455510398	17.4594840821638	-0.888526888547245	0.971137998580603	-0.626112833755508
A6H584	4.74721434727811	9.27637444134308	-0.888454772813694	0.971133165784421	-0.966479863495208
Q89ZK5	11.6802752014545	17.9397214185969	-0.888059460470975	0.971106336744273	-0.619083220920341
Q8RIH4	2.50979527749252	6.17074515990967	-0.887947595105596	0.971098746429973	-1.29787502604169
Q89A52	44.0344078962483	96.0340113034058	-0.887835932883354	0.97109117067311	-1.12491417269432
B2RHN9	5.21333176903257	9.46626808781471	-0.887574304752844	0.971073423461144	-0.860590106331558
B3E628	0.61867191615766	1.50552003735803	-0.887548214378944	0.97107165388637	-1.28301545819106
