	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC
P96349	125.652939883959	22.4983124119425	3.59994112419235	1	2.48155573142163
P9WKH6	509.510637939651	182.963343944612	3.09803946739346	1	1.47755762972101
Q02322	49.2966429551304	2.64342970667722	3.04407943098414	1	4.22100653546013
Q02403	94.3712208999155	12.2211591808081	3.17157048683154	1	2.94896583596245
Q03FR6	145.343873380094	33.1058288757692	3.09971463290756	1	2.13431310254832
Q04945	490.519712943396	81.8766578818111	3.88580402612013	1	2.5827869970561
Q05627	531.634009121594	276.310994975625	3.09338737551414	1	0.944140427050449
Q06319	138.11938682391	37.1546817464232	3.13439750931663	1	1.89429991765835
Q08853	39.4275543160145	1.10983391755985	3.08608798596444	1	5.15078851911718
Q186A6	174.784931705797	52.0192744715466	3.12872467303773	1	1.74846263192379
Q2FJ97	121.799692191268	9.77758420789725	3.81267600490299	1	3.63888862109099
Q2NUK6	24.2361740866389	1.3264469154764	3.56729624044399	1	4.19152312843546
Q2SKC5	178.768053693012	36.9128237419235	3.81363338919103	1	2.27589493666613
Q38V83	196.685398129032	33.8346526884781	3.82718293795628	1	2.53931637177864
Q3B088	82.5080614544316	6.66543577556378	3.60082066142431	1	3.62976398022715
Q3B276	71.5711553749284	6.74514669705603	3.75817932144872	1	3.40745654417397
Q46829	1084.29103198234	396.609213355504	3.88183677270323	1	1.45096194169695
Q47JA3	123.255535713368	32.2154809835644	3.17972086458853	1	1.93582640333117
Q48EU9	161.177820643752	32.2330640194747	3.77715755432249	1	2.32203999102535
Q49V53	102.731505082648	18.1050147327864	3.15428734102185	1	2.50441743067899
Q49VV1	81.6221542745015	14.1348065047641	3.05084187069047	1	2.52970865466274
Q4A604	234.46665661625	49.8649946161289	3.6031511289044	1	2.23328347288573
Q4L4T1	147.727464756908	25.2943551095938	3.54156911728642	1	2.54605070713965
Q56992	843.627307778141	237.845822452111	3.8217164116026	1	1.82657910929475
Q57752	165.871127957637	50.2169907508414	3.17453114323798	1	1.7238153052514
Q59156	75.0273895952986	18.1275580404728	3.10055069536411	1	2.04923277084626
Q59998	362.894917062554	143.952736325771	3.86523881663563	1	1.33395663702022
Q5ASQ0	101.31820085215	8.7029498668465	3.84930217705412	1	3.54124506798431
Q65H52	1663.26887762703	306.213239819941	4.84035558470193	1	2.4414128405176
Q6D625	257.945444967182	40.6975019986076	3.86668473542636	1	2.6640538202081
