	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K01126	528.941785250542	273.395053828314	1.50635531220716	0.965728914296803	0.95212180722651
K19430	430.296562510635	184.761156588672	1.44855061553491	0.965664801327154	1.2196698326715
K03545	8345.49770964707	3993.28192824508	1.50488386228767	0.965261706058301	1.06342316099366
K03495	1522.27650563137	684.695023056152	1.46978829433781	0.965004993466356	1.15269700228275
K09697	285.348590436012	100.08131734863	1.47036809256903	0.964912977151991	1.51155275178931
K00057	631.733863229171	366.074759282973	1.50281289759394	0.964638086264279	0.787178604193391
K05823	368.043342335388	116.891947592948	1.71978464590144	0.964533527205464	1.65470012465901
K00226	23.8052008745587	0.515169738078643	1.55094615531047	0.964297106305994	5.53008514290951
K06915	740.805606540396	320.760665809546	1.5510842995047	0.964246421251822	1.20759777914636
K08659	1121.32948272195	600.451578134037	1.58167756488288	0.964221312330453	0.901090437388777
K26115	273.317451106279	66.6914195652502	1.80167934862697	0.964199815971466	2.03500451463634
K00760	422.989910153635	170.979007077511	1.71789636577942	0.964110558522998	1.30680404936165
K02033	880.581364194337	531.101871272864	1.50057451425727	0.964028061917254	0.72946770014049
K01739	24.8627258932104	0.667368690971443	1.47617543865843	0.963920345236216	5.21935666335826
K02036	962.939625171872	553.837995242909	1.47694452568352	0.963787882643242	0.797981315076037
K26210	46.0694996331587	1.67742104538596	1.47785085087574	0.963635330559675	4.77949516187626
K13678	462.376647086086	218.387126851377	1.49862924007694	0.963567305093132	1.0821807175569
K07106	647.643740690898	327.910659519369	1.49632423982534	0.963122566807622	0.981897625211483
K25133	3948.2511081646	1760.60232551135	1.67984441747052	0.962982248365035	1.16514466939208
K13038	551.881463155258	304.216213782961	1.55476266292559	0.962962960520438	0.859261382154875
K03531	1372.38996646266	874.848092985529	1.49470201367581	0.962877338315149	0.649586046619978
K03657	1004.56369577988	589.494022550632	1.49190989895188	0.962604201276503	0.769019953574871
K02933	1582.52396329119	890.677790396816	1.48682236254651	0.962570681817384	0.829251820646498
K01687	997.15525511628	611.820092577807	1.49127883036885	0.962570085873057	0.704710660162108
K17473	195.583593993032	61.7769932324249	1.48702469228594	0.962562453558218	1.66264379882807
K04066	985.529496508078	621.662273266542	1.49072846820821	0.962544596189307	0.664768022311941
K21071	1367.73039177485	856.246179597592	1.43469982607595	0.961753203859021	0.675686321860758
K03595	1709.57326804816	741.921285189166	1.70778317840071	0.961669496742264	1.20429821836836
K02810	1416.11510439522	552.452745601331	1.6839135585818	0.961554627449987	1.35801556199574
K02346	901.426525511227	470.11252555807	1.70601461519082	0.961281645634641	0.939203783795133
K01972	1844.0989280802	1167.33453541786	1.6849399971486	0.961263686572604	0.65969798361545
K22416	41.8469070688844	1.04766273010238	1.5622513111885	0.961149156580723	5.31987474057092
K01205	1908.64787910788	842.121990845753	1.5696402377944	0.960967057330442	1.18044982452843
K06890	1006.54958813666	464.209050428319	1.43290749982316	0.960882860312237	1.11657169355638
K03086	1666.77274940254	1059.48209651354	1.56610280498164	0.960830303532999	0.653698209498352
K05362	400.711229522807	13.8769595562498	1.6881695863978	0.960536789692569	4.85179952741999
K04074	206.364867820147	6.12946694606896	1.69163929127897	0.960087020686049	5.07329195841033
K24847	854.661757777772	551.444872834923	1.42365863801232	0.955037778571127	0.632136900953357
K02745	895.964922740925	324.866718009343	1.42349804430892	0.954918072279759	1.46359430168761
K02796	2807.77035235874	1085.73739220278	1.81776945822059	0.953006306420949	1.37074974235776
K08963	424.144981621569	190.520835579165	1.34744650053707	0.952687055453188	1.15460871126941
K01539	46.132004890087	0.593538315219431	1.8289631632966	0.952561266608598	6.28028301837295
K07407	358.005189778357	173.880950805398	1.3504908010545	0.952531576052588	1.04188061188417
K00100	666.413385171705	370.581749492583	1.34156789370029	0.9524746315467	0.846625545194731
K12555	1252.88741859665	119.497733248844	1.33289708949161	0.951435871339642	3.39020162631893
K04094	392.180066514043	155.096637326614	1.36103199536229	0.950172511392564	1.33834880155578
K08311	24.7669636703492	0.88121240921013	1.3611444831587	0.950132286282874	4.81278338944269
K22212	156.728555442022	0.910671606156746	2.26575595922067	0.950012290057621	7.42712143984298
