	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K02218	0.800594285202457	0.51248559391439	0.350188514053865	0.571110754997548	0.643559866819581	0.428889245002452	K02218
K02221	17.6266434070456	17.9141999728255	-0.0152601651287993	0.366216214148563	-0.0233458435315947	0.633783785851437	K02221
K02224	85.8253740387049	57.2528723703099	0.53265272859734	0.723847700973218	0.584056164781496	0.276152299026782	K02224
K02225	0.507956756577542	0.514488524788579	-0.0129789964247252	0.34999765011485	-0.0184332168664861	0.65000234988515	K02225
K02226	8.39230273849211	6.1283892843792	0.231572309725971	0.452287289835555	0.453558779397209	0.547712710164445	K02226
K02227	23.9790346869716	15.9639766435034	0.433480547297427	0.621828206618036	0.586953508814734	0.378171793381964	K02227
K02230	31.4851550588794	56.3911083457968	-0.579889012674636	0.545793363071992	-0.840795926463164	0.454206636928008	K02230
K02231	6.03290880387161	5.08829234833288	0.146777405476542	0.285641629880591	0.245672210922586	0.714358370119409	K02231
K02232	77.5585952244915	65.9334115128873	0.220473495079029	0.438088656457653	0.234276942033756	0.561911343542347	K02232
K02233	31.3433770603852	32.7742295438803	-0.0507381941061365	0.539658991137705	-0.0644012360916385	0.460341008862295	K02233
K02234	1.02046602476534	0.635694915450707	0.381040282887858	0.582470745999745	0.682821695987431	0.417529254000255	K02234
K02236	3.49585329292683	2.54918930774575	0.218947735956769	0.43616036545674	0.455606127257737	0.56383963454326	K02236
K02237	11.8253298767129	15.2858637829575	-0.224827419903198	0.296229557618688	-0.370317650005035	0.703770442381312	K02237
K02238	69.7898435398193	113.840931324739	-0.786771998195401	0.654607265807274	-0.705930367046589	0.345392734192726	K02238
K02240	21.4292755451103	53.6371715843135	-0.880067000952526	0.77712874002534	-1.32365008454655	0.22287125997466	K02240
K02241	0.491955994972501	0.506180966995821	-0.0289934213058179	0.452129103345267	-0.0411239878816234	0.547870896654733	K02241
K02242	0.880755158851545	1.13863859399925	-0.178749909953389	0.435668055511286	-0.370496980458921	0.564331944488714	K02242
K02243	507.700553314576	364.350856876287	0.503617535820899	0.700851435875337	0.478649448768371	0.299148564124663	K02243
K02245	35.9225225345833	27.2099614255795	0.25320407818478	0.482609512306049	0.400753750552098	0.517390487693951	K02245
K02255	0.613947236725962	0.534413823960878	0.129128029166709	0.220246979106371	0.200157346948102	0.779753020893629	K02255
K02256	20.1918721207229	15.9410864497243	0.133437625440498	0.237445197885444	0.34102472037764	0.762554802114556	K02256
K02257	2.8037022323388	0.69659827242859	0.75302607375717	0.820559376085156	2.00893433567595	0.179440623914844	K02257
K02258	0.593922730118057	0.600872151620342	-0.0101238192134161	0.329105926429346	-0.0167828121041611	0.670894073570654	K02258
K02259	0.754426971449886	1.08001931750376	-0.211929192273647	0.323247518851022	-0.517603957328164	0.676752481148978	K02259
K02261	0.499084140795803	0.524720368861749	-0.0513173865396002	0.541279547962814	-0.0722657337324306	0.458720452037186	K02261
K02262	3.98260862893398	3.50825501280122	0.0598129730387371	0.000460891585328027	0.182960092814809	0.999539108414672	K02262
K02263	1.24112815645377	1.32005807503229	-0.0318711838516047	0.467149972946927	-0.0889493083258089	0.532850027053073	K02263
K02264	0.839094696871307	1.10035057547485	-0.159383259923931	0.50932678978412	-0.391057702828457	0.49067321021588	K02264
