	T1_LoCHO_FAT_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC
K16012	14.2527181127427	151.517497276814	-1.87348964985387	0.99799779360632	-3.41017542142826
K01776	423.084340311706	876.039675348325	-1.90754078636229	0.997863209503086	-1.05005092217949
K02837	558.093711404299	1426.78749478948	-2.0922618223891	0.997846989031083	-1.35419118102338
K00950	6.45885166680114	73.6541020706568	-1.87137944335945	0.997840578817859	-3.51141628358561
K00053	709.253590624118	1427.21729345939	-1.90798079185044	0.997835748130201	-1.0088315471476
K05919	1617.8341945545	4859.02040821922	-2.10448895159257	0.997709397677071	-1.58660173266658
K06113	50.4425605554125	224.692481168669	-1.86778981897042	0.997549395241873	-2.15523843232113
K07560	952.986676562634	330.013496082362	1.91957498817515	0.997301867780978	1.52993101888457
K13566	478.548471303013	173.632683531562	1.93140774014928	0.996942489236249	1.46262652281976
K00370	632.262164646892	181.279498313857	1.9158869104812	0.996907590322944	1.80230711577526
K02313	1514.86806263389	2863.35970696297	-1.85557343127585	0.996476676714965	-0.918516771266804
K01613	761.451817792723	228.051956757108	2.11876859843194	0.996327236453756	1.73939020150308
K01533	288.422611953259	1825.35386830506	-1.85338702107804	0.996285849179681	-2.66191999656211
K10671	1007.66165447786	492.058252821299	1.93549958761126	0.996252201530602	1.03411027646203
K23304	21.6290798230012	171.989728682083	-1.85149417408271	0.996122142312694	-2.9912782145806
K01224	4.50635295202451	58.6532521530781	-1.84981360353635	0.995977965571861	-3.70217888411946
K00876	337.912882046236	846.567299315417	-1.84903440083067	0.995911502816251	-1.32497341165851
K03686	1167.14634882684	2366.66987848992	-1.84860227178407	0.995874743545943	-1.0198730094416
K00610	201.423551610418	660.322072958328	-1.84615186661611	0.995667672575189	-1.71293749105452
K01007	211.460810490135	852.053119379323	-1.84472059879982	0.995547854970268	-2.01055305789863
K00790	1185.43620033544	2359.17417012723	-1.93355405467273	0.995271247670137	-0.99286391228929
K01462	722.320867838019	1778.0809322639	-1.83818493017067	0.995014282780185	-1.29960923675847
K00366	346.673306987626	80.5162869175501	1.83090870417879	0.994908328808033	2.10622420906214
K01823	171.853111091556	1014.98589376138	-1.93593639032008	0.994864433911408	-2.56221180256555
K01756	1266.46253738455	2262.78898050433	-1.83490318681365	0.994757463164313	-0.837297648351623
K01534	795.42939038162	1608.15938185677	-1.83451767356414	0.994727837177799	-1.01560462208832
K03293	89.3269790559693	550.785002464785	-1.8315677347723	0.994505320834857	-2.62432139885698
K09814	6.60541764620688	392.686229324943	-2.07083912125774	0.99447354907491	-5.89358341357501
K19005	218.595589157469	1197.42614584666	-2.07066247264588	0.994428036194972	-2.45360048142105
K01676	2558.38072078529	5278.09149079219	-1.82645869357785	0.994130829687772	-1.04478538641294
K25675	169.472505613353	36.4013953876791	1.94359492586116	0.993881851547346	2.21898557665007
K01921	759.064073597818	1343.76485304464	-1.82233464378836	0.993822684863921	-0.82398712565926
K03979	1941.94703076279	3333.30625204974	-1.82119834315115	0.993733327830716	-0.779450023277294
K16235	165.306734403979	1116.3731999555	-1.81951129295701	0.993595152671312	-2.7556019914348
K07173	274.212316642309	627.358781845755	-1.81000648915625	0.992594251407583	-1.19399737235773
K03439	608.290482125513	1203.01347875395	-1.9468816873119	0.992576133715033	-0.983820471028169
K02469	2221.47616832945	3843.44935539632	-1.80325233460671	0.991578785879399	-0.790882993984756
K12555	1144.24015830781	6537.63596445267	-1.80307493206253	0.991549147326909	-2.51437916240568
K13290	177.32993222207	535.157538088647	-1.95163220903218	0.991432924035229	-1.59352757531831
K03596	2114.70264074026	3934.37404352093	-1.95223939539907	0.991283834406561	-0.895679309294235
K18324	199.924534081737	60.8839366251521	1.80040038581497	0.991152444025191	1.71532197719394
K26032	589.993923473229	2141.21157264693	-1.79905592172518	0.990844736449284	-1.85965535423911
K04771	2421.99396781108	4557.77399662613	-2.05631518089456	0.990758695461119	-0.91213411651856
K20861	34.9414793051136	227.35404142577	-1.95490033399025	0.990627200576328	-2.70192805600006
K01870	2434.65297092547	5402.38976245303	-1.95574356440959	0.990419193954119	-1.1498815797371
K01486	817.939651127076	382.975054796604	1.84783906329577	0.990333688351546	1.09474397798131
K11103	328.487237461216	93.8683699196528	1.84806299575801	0.990243753491367	1.80712630800987
K03426	262.154587630643	740.043880941481	-1.95837801653163	0.989771643943461	-1.49719302512982
K01623	1089.80248670701	338.98361323499	1.84953046090686	0.989646714593373	1.68477924894972
K00425	554.766529901565	1086.36906992422	-1.79099447710109	0.989414200787088	-0.969561655307423
K19267	1.19475866905458	23.371727420885	-1.67346696278146	0.988980735932516	-4.28997322787902
K00147	1164.10427432538	2237.10786880825	-1.78754104781459	0.988868619160241	-0.942414528853368
K07456	845.073319169351	1336.60022813849	-1.67903951983399	0.988822873782339	-0.6614196043494
