	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K08641	0.916267823201671	3.07897569491655	-1.0878920430443	0.987514235914435	-1.7486092170844
K16922	1.17356651656145	4.2075714514817	-1.08651870591785	0.987487876861235	-1.84208815642513
K18942	7.79325021861607	22.9624421975297	-1.0861538642779	0.987480891062447	-1.5589790467579
K03405	26.1635514265025	63.5286002937668	-1.08597343022527	0.987477541678043	-1.27984784824718
K21499	3.37852176659559	12.1274640977665	-1.08583831441446	0.987475266349279	-1.84381385354863
K07127	1.43901798788861	6.57045321631306	-1.08576371595406	0.987474010484994	-2.19090826206554
K17999	70.7915548320642	123.985815781698	-1.0855001182645	0.987469574881742	-0.808525915376465
K11625	0.517761979512543	2.34835676063609	-1.08530432707303	0.987466282347922	-2.18129066454091
K00721	305.060147657275	451.079479281218	-1.08391221576221	0.987443307963682	-0.564287933864861
K21574	455.171969259996	628.023047221026	-1.08373012385803	0.987440709925555	-0.464405788925728
K01952	989.785637748113	1244.88081056222	-1.08364537480061	0.987439501189964	-0.330819606719804
K04754	2.71595455157901	10.6463943023887	-1.08199849225152	0.987416335895947	-1.9708336613308
K13599	1.66093915473321	5.39288622171883	-1.08058118015445	0.987399451454865	-1.69905837246324
K10824	0.614977939660986	1.78548891000765	-1.07840758232071	0.987377938422152	-1.53771260862651
K11145	9.85022877015882	24.6217456497283	-1.07810405690863	0.987375302156157	-1.32170391419224
K00215	417.604301025826	542.758044888667	-1.07665173426823	0.987364508994513	-0.378172634255393
K20118	87.7539585746307	146.684811468954	-1.07576149433244	0.987358729390605	-0.741183382507803
K17899	3.55273109179377	17.8959521403914	-1.07545427527153	0.987356954360617	-2.33263290375959
K22222	0.681986658897143	7.68336015773149	-1.07038120921338	0.987333452778299	-3.49392195914485
K09748	131.044786360284	203.154385462766	-1.07036200015988	0.987333370775849	-0.632516551209301
K03411	2.15479014761877	7.06990034260561	-1.06992737984009	0.987331516516608	-1.71414250508529
K02040	198.503199987721	286.486689053957	-1.06916015439765	0.987328248426145	-0.529305844383852
K19635	0.522126806070123	1.71970652240525	-1.06834731941964	0.987324668887938	-1.71969024802229
K23509	209.13650387364	305.265353804727	-1.06800814564746	0.987322861237729	-0.545618959574723
K05592	753.196006528738	951.919738586584	-1.06580620816059	0.987309894392366	-0.337814586619562
K13772	3.04224201235817	8.25796000945839	-1.06579333378642	0.987309803021187	-1.44065050707149
K07139	152.250591665216	214.455368938914	-1.0657002882698	0.987309142756032	-0.494229599984489
K24819	0.605576287414434	2.08258712760418	-1.06391419463691	0.987294485196876	-1.7819962339325
K10899	1.1674864015933	3.34663276555743	-1.06297084374669	0.987284896778246	-1.51930450304133
K07812	12.4538478428535	33.2776058362299	-1.06172340528889	0.987269059975473	-1.41796008419266
K04477	89.3483799077435	138.019449979753	-1.06013728624934	0.987244929002383	-0.627358113602955
K00788	44.0159809890511	81.8929309180333	-1.05786294092425	0.987198692619365	-0.895711500669962
K18197	368.974440676892	564.717339188558	-1.05748999425827	0.987189818668551	-0.614008046333388
K06374	62.8663664188702	109.28314254559	-1.05681786829605	0.987173847440853	-0.797710590427713
K00150	2.44382237000392	8.97743741008173	-1.05633479248519	0.987159948083243	-1.87716426335423
K04751	3.21946658663421	11.4854318311128	-1.05633334312383	0.987159905362202	-1.83491151831884
K02217	94.0122896776643	153.687121215748	-1.05631527532164	0.987159372813135	-0.709075004764755
K03387	94.288098793786	179.201929340087	-1.0536400069574	0.987072558503228	-0.926438581901701
