	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K01490	0.8922344540239	0.401799129194292	0.863287926816839	0.969516168784253	1.15094842211724
K08225	0.585461067133212	0.433472710652105	0.363550242615973	0.969515682485649	0.433632064225602
K10245	0.554651627324637	0.417448403168563	0.363528576263124	0.969515469507007	0.409984018818167
K19870	0.578587640836271	0.427567255014462	0.363526890128178	0.969515452933838	0.436384136962818
K16137	0.544371239299266	0.408435238693653	0.363501908482736	0.96951520741095	0.414483503687714
K01245	0.629080042395415	0.433472710652105	0.389378824158131	0.96951514626959	0.537302422093843
K03549	160.558217619597	130.899234282382	0.363414388112327	0.969514347602364	0.294639848317403
K08224	0.928920091617712	0.573351685637384	0.363380403008462	0.969514013877421	0.696134158380755
K02443	0.52937806085986	0.392763816399009	0.36327295050867	0.969512663084273	0.430636379487794
K11708	0.576251848272758	0.425964993247423	0.363214829580501	0.969511924651993	0.435964601427237
K11406	0.567461743103715	0.416696367714332	0.389615512051866	0.969511486013324	0.445526608358225
K20967	6.31115770644999	4.17920326659863	0.363110424510979	0.969510598936747	0.594676744991978
K25470	0.582658145569476	0.433472710652105	0.363022798312789	0.969509487031059	0.426708509237464
K10862	0.592537570541921	0.433472710652105	0.38975731510117	0.969509288662766	0.450965461492454
K26046	7.43584838162291	4.20528023863905	0.362957678790359	0.969508661162631	0.822295409270808
K21594	0.560958312533235	0.423240985381666	0.362954933673053	0.969508626356442	0.406414220864844
K03009	0.561679997411214	0.423240985381666	0.362905504353673	0.969507999742314	0.40826908601374
K02404	1.49980813612226	0.976533613773526	0.389858750510324	0.969507714794654	0.619036345036172
K05523	0.588383165431847	0.433472710652105	0.362869799278541	0.969507547246094	0.440814798212748
K06141	0.588383165431847	0.433472710652105	0.362869799278541	0.969507547246094	0.440814798212748
K03603	0.576536157576054	0.429453749815902	0.362745201614794	0.969505969092872	0.424908321470273
K21755	1.83199587618976	1.16198835094036	0.362622885782883	0.969504421190599	0.656820650301601
K13367	0.557831692751905	0.418926525704678	0.36260232553459	0.969504161132542	0.413132666177901
K00528	216.37000496946	184.283428823716	0.39010652365267	0.969503863161327	0.231574168050941
K03415	12.8173821638647	9.26970244334083	0.362514539445507	0.969503051186876	0.467506700113222
K02569	0.581122861330894	0.433472710652105	0.362498613815327	0.969502849900763	0.422902040100832
K10748	0.581122861330894	0.433472710652105	0.362498613815327	0.969502849900763	0.422902040100832
K16578	0.565218014117538	0.423240985381666	0.362423896431588	0.969501905839744	0.417328106219399
K26857	0.815598805224784	0.530294962834689	0.390262832708171	0.969501428071202	0.621064617270685
K07292	0.544875715319377	0.410855133348583	0.362335748375614	0.969500792720115	0.407297400221638
K11672	0.578316819361735	0.433472710652105	0.362325950136763	0.969500669032215	0.415918889869325
K06269	15.7210912465833	8.93625714145935	0.39040415282504	0.969499222972082	0.814958757535785
K00769	0.535130827695494	0.39215914771875	0.390546443876736	0.969496999340548	0.448452387877224
K18932	0.604406142349813	0.440199307188861	0.362005101290364	0.969496623515721	0.45736144750406
K01761	8.463831547315	5.59316226101868	0.362002365352366	0.969496589058134	0.597646729895887
K00211	0.571418065440254	0.429158250975117	0.361998800505371	0.969496544161905	0.413036912113987
K26941	0.544875715319377	0.408938917902684	0.361968447236716	0.969496161933814	0.414041824755111
K26942	0.544875715319377	0.408938917902684	0.361968447236716	0.969496161933814	0.414041824755111
K21919	0.542980385214756	0.409608828691202	0.361962914968603	0.969496092276696	0.406653271165026
K24998	0.548088899858041	0.412388164297609	0.361944111679815	0.969495855543635	0.410406989490571
K12182	0.597323441751919	0.433472710652105	0.390643944172468	0.969495473706096	0.462571169763209
K09923	0.575428169648805	0.433472710652105	0.361904036964808	0.969495351108227	0.408694677650102
K04460	0.568540527672723	0.419518769129671	0.361865202729972	0.969494862422897	0.438527835620909
K13821	0.648198239098645	0.450589459695632	0.361841247295391	0.969494561037176	0.524621535347208
K19838	0.560958312533235	0.425821034151071	0.361807807423872	0.969494140411733	0.397646345407056
K25817	0.575093355717938	0.419978029806551	0.390754388751191	0.969493465019162	0.453482311232025
K05084	0.538841264957025	0.409303279184399	0.361535578839269	0.969490719845845	0.396690112777933
K10839	0.54210809272654	0.408794659102094	0.361494867580981	0.969490208869239	0.407204196397226
K09598	0.560397134081629	0.423013055930378	0.361474128980044	0.969489948630358	0.405747386161918
K01554	0.555443133384098	0.419551148558868	0.361438713883891	0.969489504310746	0.404792511105307
K06338	0.984210243100816	0.63963386452902	0.361427033846488	0.969489357796638	0.621720208965209
K19424	309.599811578307	194.301902614121	0.862648084214581	0.969487673887403	0.672104565526193
K24456	0.853337540130152	0.567058440766145	0.361315478882344	0.969487544367642	0.589619090353261
K11744	0.668478657734279	0.453157150650248	0.391055232276964	0.969487524488357	0.560870050519553
K13339	0.668278623054205	0.469109863895961	0.391118098301399	0.969486280660459	0.510523889425789
K23430	0.552222080979785	0.404176538450353	0.391152779175493	0.969485594121611	0.450262997325105
K03361	0.596094467933034	0.433080415197865	0.361165626111468	0.969485097210751	0.460906052216311
K16182	0.544875715319377	0.409238184316527	0.36109072136829	0.969483874917094	0.412986429317523
K14309	0.574952620427482	0.417038926040369	0.39130255229972	0.969482626246487	0.463261024340597
K19718	0.585214819207989	0.419222024545462	0.391317072384009	0.969482338261498	0.481251789528984
K18281	0.560958312533235	0.423996990642755	0.360984579827478	0.96948214396408	0.403839536156644
K03137	0.652640592145413	0.465943686356647	0.360965289677976	0.969481829514525	0.486133118956638
K12077	0.663337968437978	0.45757105537414	0.391342761135241	0.969481828650316	0.535748311595085
K19808	0.568474981223686	0.415589308880631	0.391426189780535	0.969480172614652	0.45193831592108
K02202	0.579207545790641	0.423996990642755	0.391434386683521	0.969480009827022	0.450026372497126
K10992	0.589111050429089	0.423996990642755	0.391440156898514	0.969479895223832	0.47448558987846
K00295	0.587341514853419	0.433840824771385	0.360712030018825	0.969477704924818	0.437033796780235
K14811	0.591247207713468	0.440718871920921	0.360711157079545	0.969477690720342	0.423902789795233
K08014	0.544875715319377	0.413172251061926	0.360677636052892	0.969477145329371	0.39918382752185
K12766	0.579028672601991	0.433472710652105	0.36067268961232	0.969477064860685	0.417693618809296
K21767	0.586001320713319	0.433472710652105	0.360654155264641	0.969476763367899	0.434962744961383
K02155	0.661303538069892	0.453882373459673	0.391684440662215	0.969475036833688	0.542994157979481
K14983	32.8655995127392	21.4699369134685	0.391787157711885	0.969472990089455	0.61426034995035
K17979	0.561505151218147	0.423996990642755	0.360417176502448	0.969472911833161	0.405245232728125
K14766	0.586036592364821	0.433472710652105	0.360393759502952	0.969472531579617	0.435049578733828
K13572	0.544875715319377	0.39857143511854	0.39181136114357	0.969472507476114	0.451088873985305
K00116	0.591065320051591	0.428143549501988	0.36039121069411	0.969472490194787	0.465222985222821
K15577	0.550644631962727	0.41439224982967	0.360325738949722	0.969471427379003	0.410124529634706
K22686	0.590068734205777	0.433472710652105	0.391879771746499	0.969471142686263	0.444941845519981
K14538	0.592628994415357	0.433472710652105	0.391981453641351	0.969469112246253	0.45118804078719
K15446	0.574636646703661	0.415589308880631	0.3919888009329	0.969468965443929	0.467491460704834
K02328	0.560977168469462	0.425821034151071	0.360079696863977	0.969467437529654	0.397694839043543
K12815	0.61977761842764	0.431160639708584	0.392066494709335	0.969467412362955	0.523525175194886
K19647	1.49450060010502	0.824456870665196	0.360047183912408	0.969466910791319	0.858147546439843
K18671	0.549462419074217	0.406303695686934	0.392161990688691	0.969465501608487	0.435462323056694
K19745	0.620297120959564	0.448950105248569	0.392162853230956	0.969465484340989	0.466404311043794
K16698	20.3506094112963	14.2159899540558	0.392334768160538	0.969462039462044	0.517557430535851
K16817	0.582964825807027	0.424669172388736	0.392527904768225	0.969458161580617	0.457069454269208
K07484	1535.20910927221	1388.74389971928	0.392555431846086	0.969457608210188	0.144654602646242
K17216	0.610672394502058	0.433472710652105	0.39263837044371	0.969455930296693	0.494457458306828
K19877	0.568127326433732	0.429158250975117	0.359212244924517	0.969452234278694	0.404704561202227
K06130	0.814252110690259	0.536254964907483	0.359177839339049	0.96945152376087	0.60255645451365
K19479	0.550231101659877	0.412862279555144	0.359166730660586	0.969451294386823	0.414377074685447
K10900	25.0348935491884	18.0889384277641	0.392868746025768	0.969450297629814	0.468832576894733
K08658	0.560397134081629	0.425100079669598	0.359109094426442	0.969450104568622	0.398647048365067
K03679	0.552986396896635	0.418926525704678	0.35901095006621	0.969448079541303	0.400546755485942
K06634	0.571888910531252	0.41634531414172	0.393001353791453	0.96944704883696	0.45795434369168
K00176	0.547467891761117	0.396359587107783	0.393023902099932	0.969446495943441	0.465964482528543
K16516	0.544875715319377	0.412427374766925	0.358906897239536	0.969445934011125	0.40178709815047
K22718	0.611018066620004	0.433472710652105	0.393093265728228	0.969444794250149	0.495273867175545
K17970	0.572842484218869	0.433472710652105	0.358835634746989	0.969444465440318	0.402197321230482
K08484	5.45380379176198	3.599861583519	0.393159718798186	0.969443162729439	0.599321362935495
K18694	0.658079110086421	0.446509097568975	0.393310626620378	0.969439453235734	0.559571455627359
K14784	0.564486815793239	0.425821034151071	0.358586393157776	0.969439334424554	0.406692669756735
K02274	0.544875715319377	0.412781330659938	0.358583938460122	0.969439283932077	0.400549470773292
K21429	0.544875715319377	0.412781330659938	0.358583938460122	0.969439283932077	0.400549470773292
K20930	3.78404529737535	2.2514932781837	0.393325468706219	0.96943908806285	0.749047188206504
K07565	0.559695765656931	0.423240985381666	0.35850219790327	0.969437603008963	0.403163492699167
K08794	0.768344551466151	0.499106166716007	0.39348656187127	0.969435120659236	0.622406679693603
K14407	0.543197752659576	0.410855133348583	0.358322438585966	0.96943390954379	0.40284771847059
K01013	0.533252161279411	0.405223005218964	0.358183324856367	0.969431054160399	0.396101827057826
K22645	0.562678378329741	0.411274849203643	0.393708476133698	0.969429643670961	0.45220767793559
K24974	0.560958312533235	0.425964993247423	0.358072263274295	0.969428776406259	0.397158689893357
K12778	0.644768335734993	0.433472710652105	0.393884013264149	0.969425301681234	0.572839724345776
K12974	1.05446949896047	0.612919206412561	0.357881824721861	0.969424874520597	0.782748546234988
K08341	0.568390398700839	0.428683300937723	0.357859788830238	0.969424423338317	0.406969965599342
K04728	0.537072963325547	0.406257547967633	0.357829454022241	0.969423802341794	0.402723479426421
K16012	38.4475911654332	25.6163523571659	0.357666597097215	0.969420470509501	0.585828155072906
K11188	0.5577474919563	0.425821034151071	0.357621409779499	0.969419546659102	0.389364905149056
K06072	0.588709877827819	0.423996990642755	0.394263082525587	0.969415896120736	0.473502809337057
K10207	2.02637843035108	1.1598862297732	0.357451679956773	0.969415698431168	0.804920323490192
K20346	0.562881965620284	0.425821034151071	0.357406555363912	0.969414536334747	0.402585210000847
K02541	1.39943013583984	0.491122205488182	0.860951311062986	0.969412632027718	1.51068550581452
