	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K16136	0.749303355803663	0.497440336894748	0.364520799343042	0.951589791860501	0.591026413822998
K07546	0.582440846511793	0.426217181270332	0.344249487035191	0.951588087271491	0.450522784254683
K12571	0.582440846511793	0.426217181270332	0.344249487035191	0.951588087271491	0.450522784254683
K18722	0.582440846511793	0.426217181270332	0.344249487035191	0.951588087271491	0.450522784254683
K05286	0.582440846511793	0.417311348425217	0.364577439793969	0.95158708106222	0.480987381134736
K09689	0.582440846511793	0.418856175326538	0.364616303761724	0.951585219884025	0.475656591353946
K22407	0.6969872028775	0.48300312477684	0.34409815988084	0.951579727995566	0.529099644979096
K15837	0.582440846511793	0.424879467815296	0.344050457358954	0.95157709512237	0.455057907636992
K00001	0.725861695695832	0.498470120244791	0.344042500403022	0.95157665605211	0.54218765818249
K01040	4.54783813161017	18.5777634817315	-1.1892103399131	0.951575907500428	-2.03032401937063
K14292	0.609528808995804	0.444429864883861	0.344017173193741	0.951575258674756	0.45573864404637
K06297	0.615221617446995	0.447661986877385	0.343935163338009	0.951570735986303	0.458696379816586
K08874	0.587991398040783	0.430632850314564	0.343925545369163	0.951570205777527	0.449336671480913
K03554	0.635970296301432	0.432134592108413	0.364956496973657	0.951568887832206	0.557478662008763
K00417	0.587991398040783	0.42016047525043	0.365129207172531	0.95155915442205	0.484854596257975
K18104	52.6945064803723	33.0497407011261	0.343696634955948	0.951557599280199	0.673013612729636
K24767	0.582440846511793	0.424979492683356	0.343678186708011	0.951556584356743	0.454718309213042
K07189	0.606393325310524	0.442827123591837	0.343604750502316	0.951552545847589	0.453510282271321
K22366	0.606393325310524	0.442827123591837	0.343604750502316	0.951552545847589	0.453510282271321
K10550	0.706977280652464	0.484648537761189	0.343604584149874	0.951552536702119	0.544724954924703
K18917	0.582440846511793	0.426230883043243	0.343594472500927	0.951551980823348	0.450476406109998
K03153	0.606393325310524	0.441000626915769	0.343579528244946	0.951551159362654	0.459473166886558
K16502	0.603722902628467	0.439443487803901	0.343567127529919	0.951550477794269	0.458208884290254
K05539	5.71091501765234	24.2574929277093	-1.12277487099238	0.951546918416371	-2.08663663046756
K20636	0.596847875310166	0.431628492684056	0.343470102681203	0.951545147557191	0.467573160747116
K14755	0.582440846511793	0.426524319584678	0.343387179444287	0.951540595451338	0.449483531581533
K07195	0.582440846511793	0.427061866650882	0.343377654662724	0.95154007278691	0.447666452997828
K10682	0.579448750181821	0.422847695671749	0.343366171540956	0.951539442715639	0.454542949915593
K02141	0.743816228258628	0.494753310767724	0.365514415900354	0.951537359058529	0.588236862919348
K03627	0.597212101925791	0.436422745020056	0.343325448282907	0.951537208745953	0.452517108110184
K26030	3.00109135851795	14.8414113921894	-1.18461362676788	0.951536306284125	-2.3060691533497
K05851	6.26660784538817	3.55551464746082	0.365534824152384	0.951536201214757	0.817626314653709
K22387	0.609528808995804	0.4450595185255	0.343251450998246	0.951533151400964	0.453696127620779
K01177	0.582440846511793	0.416654876708157	0.365626121435747	0.951531017674984	0.483258669006497
K14655	0.582440846511793	0.416654876708157	0.365626121435747	0.951531017674984	0.483258669006497
K14107	0.582440846511793	0.426454085450504	0.343178655964881	0.951529162428477	0.449721114237095
K07788	17.4864296867328	51.4929846082203	-1.13598197399625	0.951524618443234	-1.55814013796571
K07232	0.606326534584115	0.433885325528472	0.365821459980444	0.951519905742264	0.482781166812221
K12946	0.606677879930282	0.435158979333697	0.365917492882719	0.951514432192394	0.479388144248848
K05689	0.632705906131904	0.446977364364885	0.365919720148175	0.951514305162202	0.501333290150794
K13930	0.582440846511793	0.425599365496903	0.342925714377497	0.951513867410928	0.45261553512266
K00545	0.582440846511793	0.425329679506492	0.342914302542664	0.951513119974551	0.45353000538613
K07559	3.16031765680957	19.0728243781981	-1.13523061275003	0.951511538589177	-2.59337701723208
K05773	0.835130571872564	0.511293797966333	0.366012445228004	0.951509013298005	0.707849253095171
K00023	0.579448750181821	0.412947686272295	0.366068559783596	0.951505807615515	0.488722039212072
K12943	0.998246125365816	0.668900829465276	0.342766514071575	0.951503446506288	0.577603232863662
K00251	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K03511	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K03910	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K05524	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K06492	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K08765	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K09255	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K11028	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K13034	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K13072	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K13427	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K14684	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K17530	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K18128	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K18649	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K20549	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K21494	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K21944	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K24872	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K25594	0.582440846511793	0.425434972620654	0.342736109542055	0.951501457803822	0.45317290109404
K01763	0.601760352376878	0.434939416178879	0.342721510113708	0.951500503055122	0.468374598017435
K22205	0.60962115065212	0.444926597265632	0.342691393203111	0.951498533873137	0.454345613686478
K11809	0.569367899439924	0.409747520382529	0.342677916935622	0.951497652886696	0.474625938470182
K03760	1.84666448309027	8.17913788874958	-1.13394225638811	0.951494017883365	-2.14702701616208
K10595	0.932805286536322	0.58365138517515	0.366277836795897	0.951493830830533	0.676469059850293
K01975	49.2430153552279	32.8771508851159	0.366297328717159	0.951492713605856	0.582833825443735
K02324	0.581687444487988	0.426217181270332	0.342578526751128	0.951491158370357	0.448655413581375
K04483	0.576441455427165	0.420994016366746	0.342561425529603	0.951490041435426	0.453374364001434
K14440	2.93878464907015	15.2015646743284	-1.1260485782325	0.951489872838416	-2.37092827689749
K12462	0.609528808995804	0.43489347755454	0.366350670734075	0.951489654687449	0.487032338818376
K01720	0.587991398040783	0.428457305009068	0.342518723643601	0.951487253107619	0.456643599894399
K17816	0.597433377494856	0.436762688766861	0.342502846398071	0.951486216605722	0.451928223876889
K07656	0.580727759548973	0.423530764331222	0.342502674657448	0.951486205394832	0.455395230887511
K24155	0.580727759548973	0.425506681952513	0.342487543691004	0.951485217735631	0.448680210926106
K00857	77.3913506806157	161.660424066384	-1.12658423597137	0.951484651936231	-1.06272229350697
K10624	0.582440846511793	0.426345565408949	0.342466456699026	0.951483841502115	0.450088284478022
K22105	0.582440846511793	0.426345565408949	0.342466456699026	0.951483841502115	0.450088284478022
K14015	0.579448750181821	0.41486759337361	0.366479102659319	0.951482280701922	0.482030098417096
K10777	0.582440846511793	0.425878205664666	0.342396955954086	0.951479307209555	0.451670633330204
K14548	0.582440846511793	0.425878205664666	0.342396955954086	0.951479307209555	0.451670633330204
K19642	0.582440846511793	0.425878205664666	0.342396955954086	0.951479307209555	0.451670633330204
K20867	0.582440846511793	0.425878205664666	0.342396955954086	0.951479307209555	0.451670633330204
K20960	0.582440846511793	0.425878205664666	0.342396955954086	0.951479307209555	0.451670633330204
K12195	0.580727759548973	0.425596674771522	0.342374635147885	0.951477851514501	0.448375119439489
K26040	0.582440846511793	0.42698717135802	0.342359080424759	0.951476837236483	0.44791880976909
K00956	90.6531588289666	188.997599453166	-1.13217786223118	0.951476801694625	-1.05993871323948
K25919	0.614234620718139	0.442827123591837	0.342356719368639	0.95147668328995	0.472046239364369
K00983	0.733197332366062	0.478972589409651	0.366631026126963	0.951473541466672	0.614258440915538
K05334	0.670124114564412	0.458607026127899	0.366640935283995	0.951472970831657	0.547169865734999
K13670	0.578154542389985	0.411588611294649	0.366642509138556	0.951472880191657	0.490252117612185
K01777	5.33535320448003	3.03394850191629	0.366661302432291	0.951471797716893	0.814387184168605
K03733	712.868963462631	968.833868189159	-1.12850182691959	0.951470948536036	-0.442612388212525
K09138	0.597415507319915	0.43866457787597	0.342218926847573	0.951467703920348	0.445616473096846
K11931	0.842215934823376	0.540647154270262	0.34219073237625	0.951465867822136	0.639502825101896
K06012	9.89959525560384	6.57571342631554	0.3421826020201	0.951465338428812	0.590222115050626
K19632	0.89802511552636	0.530158130882043	0.366797166171118	0.951463844182662	0.760333055927723
K23398	0.570160240031655	0.416529139775538	0.342143009761336	0.951462760942721	0.452950008861975
K04794	4.98883445467616	2.79532758511801	0.342094485472719	0.951459603086958	0.835685434193185
K19244	3.38524491261723	1.93995798789488	0.342085611785854	0.951459025739046	0.803234802895472
K07246	0.606326534584115	0.435158979333697	0.366879871165928	0.95145843450074	0.478552394276854
K00609	1307.60870453635	1173.03457508766	0.342037492304521	0.951455895658263	0.156685348735148
K10245	0.582440846511793	0.427772365968702	0.342004094876998	0.951453723926448	0.445268247499508
K17382	0.582440846511793	0.427772365968702	0.342004094876998	0.951453723926448	0.445268247499508
K17605	0.582440846511793	0.427772365968702	0.342004094876998	0.951453723926448	0.445268247499508
K11786	0.596455861923935	0.433471929154382	0.34196649684399	0.951451279735412	0.460476811417365
K04728	0.582440846511793	0.415944377390338	0.367033881794364	0.951448344414544	0.485720919809965
