	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K12962	0.688681633154285	0.670908349628575	0.0223050979565153	0.557013113082066	0.0377215029647378	0.442986886917934	K12962
K12963	0.60407821220681	0.786320852871369	-0.221490540228061	0.349942485355213	-0.380382761884721	0.650057514644787	K12963
K12972	0.69299584158258	0.482172534675343	0.287895034387963	0.662233262123598	0.523297220251042	0.337766737876402	K12972
K12973	1.68599624331626	1.16601703625381	0.171177459491441	0.667014094707459	0.532012454327299	0.332985905292541	K12973
K12974	1.89960520396524	0.692529116638189	0.733682083481251	0.782949434540559	1.45575297947165	0.217050565459441	K12974
K12975	14.0425910487533	13.6955329245644	0.0229160267143619	0.559422935630547	0.036103751326455	0.440577064369453	K12975
K12982	35.1660879990846	77.0501217310149	-0.920491092068875	0.793411125063621	-1.13161238269383	0.206588874936379	K12982
K12984	20.1944060222567	18.6104569044312	0.0771512406394709	0.689084128383237	0.117842237330407	0.310915871616763	K12984
K12986	2.64989867464481	2.27054051153926	0.120808347023001	0.707768367742234	0.222901417848278	0.292231632257766	K12986
K12989	0.960877132222924	1.16168196457763	-0.159696961455303	0.205509648450965	-0.273791284139799	0.794490351549035	K12989
K12990	11.7965682578963	7.04813127989627	0.395194961056744	0.663181397371622	0.743054524364013	0.336818602628378	K12990
K12991	78.0626655753106	91.4476986731667	-0.167016358323287	0.226654359061877	-0.228314137531073	0.773345640938123	K12991
K12992	24.583192131626	22.8607712974168	0.0833856870428404	0.695373294607436	0.104798182741529	0.304626705392564	K12992
K12993	0.725580348438045	1.16242668209722	-0.324806125679794	0.492201076597946	-0.679932436114087	0.507798923402054	K12993
K13005	2.93489148259298	2.35992307352903	0.162521498094018	0.673058840527272	0.314567327985856	0.326941159472728	K13005
K13010	0.989724923467611	0.976953292165103	0.0112356816546028	0.509349565505069	0.0187380203022559	0.490650434494931	K13010
K13014	0.517628665150548	0.493172897288536	0.053379088027463	0.652322474176924	0.0698239954006366	0.347677525823076	K13014
K13015	12.935131244292	14.5271305061899	-0.11261906861147	0.040644550020732	-0.167455068376285	0.959355449979268	K13015
K13016	1.08046751181118	1.13423201195768	-0.0323531650413488	0.240124813098037	-0.0700600868711829	0.759875186901963	K13016
K13017	13.516138462574	18.5025420603341	-0.304714039668367	0.466217201980248	-0.453040460919883	0.533782798019752	K13017
