	T1_LoCHO_PROT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K00172	80.3331282574104	45.8892283857471	0.651717486102981	0.836267831761455	0.807839509237499	0.163732168238545	K00172
K00174	72.2153890090565	67.5749457372837	0.0827029096487136	0.88129057039887	0.0958178581070997	0.11870942960113	K00174
K00175	20.8738756081001	28.587350711596	-0.292644477983998	0.806460841519059	-0.453678439149568	0.193539158480941	K00175
K00176	0.540700145869168	0.478744121701206	0.117833915147814	0.874118651152267	0.175573972730314	0.125881348847733	K00176
K00177	2.43544865981564	2.6474766019172	-0.0630927784111223	0.656408487557436	-0.120430362968514	0.343591512442564	K00177
K00179	101.017119861393	85.196197460974	0.269540048564424	0.820226405420386	0.245738868645696	0.179773594579614	K00179
K00180	4.24960865287057	3.2808639390229	0.196799679887211	0.824607646422794	0.373254224381409	0.175392353577206	K00180
K00184	3.63211583895445	2.94484774469688	0.163329066661271	0.84337230836138	0.302617169809104	0.15662769163862	K00184
K00185	0.614513149915502	0.507823542815579	0.178244141894695	0.833619210129706	0.275116602830918	0.166380789870294	K00185
K00186	430.195178536782	467.807950540093	-0.240943712722061	0.79143254398334	-0.120925025268223	0.20856745601666	K00186
K00187	1738.16268777547	1288.58540240759	0.813385993858409	0.872239707126135	0.431774964639889	0.127760292873865	K00187
K00188	4.57434965684757	6.08920134619084	-0.218979843545694	0.783829862458871	-0.412686370499295	0.216170137541129	K00188
K00189	0.558239619909318	0.506139760736502	0.0928222468436381	0.881250885092536	0.141348708000751	0.118749114907464	K00189
K00192	0.510159198217003	0.474649110390792	0.0721712929777474	0.879550867447561	0.104086139733691	0.120449132552439	K00192
K00193	238.594101968977	160.35142178896	0.730159075320432	0.838064443227756	0.573321234354837	0.161935556772244	K00193
K00194	3.57252096949213	3.21944945465254	0.0870364947462869	0.881453669469589	0.150128479633067	0.118546330530411	K00194
K00196	8.18497256962631	8.2384469207967	-0.00552199462616211	0.699229005308107	-0.00939481012685788	0.300770994691893	K00196
K00197	228.075195270449	165.473809720389	0.516701015431518	0.820378098609218	0.462906658970969	0.179621901390782	K00197
K00198	1187.15221582156	866.391182701202	0.923616046868005	0.8525696807808	0.454414462415998	0.1474303192192	K00198
K00207	1.3800482461039	1.10443641554151	0.171508433593508	0.837920145631839	0.321408341656189	0.162079854368161	K00207
K00208	70.8054456935648	82.3943651262913	-0.181719146137333	0.77054038863916	-0.218685353011847	0.22945961136084	K00208
K00209	13.9293009178746	17.2244551153578	-0.176380477012933	0.767338527774408	-0.306335490968706	0.232661472225592	K00209
K00214	0.528750060561725	0.468185420575765	0.119526504420136	0.873212306836648	0.175505914250803	0.126787693163352	K00214
K00215	428.291843147288	452.201228722678	-0.167599668926491	0.760970426118706	-0.0783707109433872	0.239029573881294	K00215
K00219	2.30507737485847	2.11793015386024	0.0611482688251146	0.874785045174028	0.122160166406173	0.125214954825972	K00219
K00220	1.10324836295721	0.961304223920672	0.103576421161955	0.879556017515697	0.198692628557364	0.120443982484303	K00220
K00222	0.521873962243123	0.494978393271389	0.0534105122759267	0.868641950763537	0.0763358734071672	0.131358049236463	K00222
K00223	0.599605191789915	0.504577604340584	0.16459060900065	0.842526415885347	0.24893670140955	0.157473584114653	K00223
K00226	9.49678473865385	4.87137563490885	0.364168204587946	0.813811811602165	0.963109918122946	0.186188188397835	K00226
K00227	0.826013936349248	0.801273090634371	0.0199363668232434	0.795956016277472	0.0438720956255405	0.204043983722528	K00227
